WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,MARRIED,COMMON-LAW,SEPARATED/DIVORCED,NEVER_MARRIED,WIDOWED,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,2099,273,287,2372,147,337
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,125
Ward 1,4040,BELMEAD,1713,205,277,1852,117,439
Ward 1,4700,BRECKENRIDGE GREENS,861,80,99,678,45,148
Ward 1,4060,BRITANNIA YOUNGSTOWN,1222,401,401,1842,169,724
Ward 1,4090,CANORA,719,268,315,1397,117,519
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0
Ward 1,3140,CRESTWOOD,1050,59,99,702,94,319
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,1508,308,429,1864,274,712
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,563,88,109,391,65,173
Ward 1,4230,JASPER PARK,271,55,59,268,46,1141
Ward 1,4475,KINOKAMAU PLAINS AREA,20,8,1,18,3,56
Ward 1,4240,LA PERLE,1656,242,334,1946,136,808
Ward 1,4485,LEWIS FARMS INDUSTRIAL,22,2,2,20,2,27
Ward 1,4290,MAYFIELD,658,127,178,674,90,241
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,859,128,155,717,207,542
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3330,PARKVIEW,1534,116,166,1174,122,222
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0
Ward 1,4710,POTTER GREENS,851,58,43,279,36,253
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,64,2,2,24,0,60
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0,0,0,0
Ward 1,4487,SECORD,373,49,6,42,2,442
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,305,80,72,311,51,435
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4730,SUDER GREENS,1218,122,108,1037,49,277
Ward 1,4520,SUMMERLEA,740,93,118,714,96,297
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,668,119,238,571,271,321
Ward 1,4471,TRUMPETER AREA,47,14,5,27,0,67
Ward 1,4740,WEBBER GREENS,272,24,8,112,7,126
Ward 1,4580,WEST JASPER PLACE,774,159,234,1054,129,616
Ward 1,4590,WEST MEADOWLARK PARK,952,183,223,858,111,1009
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,700,250,249,706,87,250
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,2,0,2,1,156
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0
Ward 2,3460,ALBANY,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0
Ward 2,3010,ATHLONE,1113,237,184,1242,107,233
Ward 2,3020,BARANOW,268,76,92,373,63,265
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,1576,234,264,1734,114,294
Ward 2,3070,CALDER,1091,329,357,1695,173,414
Ward 2,3090,CARLISLE,1326,206,240,1627,95,354
Ward 2,3470,CARLTON,1188,120,90,1177,43,119
Ward 2,3150,CUMBERLAND,2643,312,230,2477,83,674
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,714,166,178,573,78,339
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3111,GRIESBACH,1023,253,204,1175,125,441
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0
Ward 2,3480,HUDSON,755,59,76,793,35,302
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,1388,541,600,2729,420,632
Ward 2,3250,KENSINGTON,1282,186,229,1145,385,368
Ward 2,3260,LAUDERDALE,815,208,200,1103,139,268
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0
Ward 2,3320,OXFORD,1521,114,96,1305,76,287
Ward 2,3340,PEMBINA,180,25,41,165,41,54
Ward 2,3350,PRINCE CHARLES,312,104,105,427,31,344
Ward 2,1170,PRINCE RUPERT,357,111,119,571,47,134
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,939,177,198,978,318,292
Ward 2,3400,RURAL NORTH WEST,0,0,0,0,0,0
Ward 2,3410,SHERBROOKE,769,185,167,924,86,307
Ward 2,1230,SPRUCE AVENUE,335,132,131,768,67,687
Ward 2,3430,WELLINGTON,1095,222,183,1209,152,279
Ward 2,1250,WESTWOOD,591,246,268,1475,70,665
Ward 2,3450,WOODCROFT,832,137,303,931,261,134
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,80
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0
Ward 3,3030,BATURYN,1961,234,270,1997,140,317
Ward 3,3040,BEAUMARIS,1831,139,251,1486,334,343
Ward 3,2050,BELLE RIVE,1779,130,141,1693,92,110
Ward 3,3080,CANOSSA,1435,135,106,1304,34,200
Ward 3,3120,CHAMBERY,961,69,48,884,20,82
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0
Ward 3,3180,DUNLUCE,2074,377,379,2606,128,793
Ward 3,2241,EAUX CLAIRES,1221,122,152,1199,64,477
Ward 3,3190,ELSINORE,1025,62,69,696,65,232
Ward 3,2260,EVANSDALE,1986,248,362,2386,179,499
Ward 3,2410,KILKENNY,2081,301,369,2564,186,214
Ward 3,2440,KLARVATTEN,2078,210,124,1851,62,464
Ward 3,2450,LAGO LINDO,1743,194,201,1614,110,132
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0,0,0,0
Ward 3,3280,LORELEI,1473,167,215,1623,133,416
Ward 3,2511,MAYLIEWAN,1951,109,129,1670,125,222
Ward 3,2600,OZERNA,1955,137,142,1728,113,420
Ward 3,3370,RAPPERSWILL,0,0,0,0,0,0
Ward 3,2700,SCHONSEE,711,65,48,716,23,149
Ward 4,2030,BANNERMAN,964,257,219,1338,66,210
Ward 4,2070,BELMONT,1860,277,309,2204,177,387
Ward 4,2080,BELVEDERE,1354,400,432,2033,198,668
Ward 4,2110,BRINTNELL,2090,257,130,2023,60,617
Ward 4,2120,CANON RIDGE,614,177,173,816,50,195
Ward 4,2130,CASSELMAN,984,237,256,1342,91,495
Ward 4,2145,CLAREVIEW TOWN CENTRE,861,320,205,1424,42,378
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,389,155,164,421,61,260
Ward 4,2280,FRASER,1180,218,217,1346,54,290
Ward 4,2311,GORMAN,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,678,163,205,1146,65,213
Ward 4,2340,HOLLICK-KENYON,2321,208,139,1955,78,510
Ward 4,2350,HOMESTEADER,973,255,213,1134,80,628
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,1273,172,211,1106,89,230
Ward 4,2430,KIRKNESS,1184,253,238,1629,76,360
Ward 4,2500,MATT BERRY,1825,99,130,1581,73,372
Ward 4,2521,MCCONACHIE AREA,342,84,12,289,4,166
Ward 4,2530,MCLEOD,1097,110,127,847,98,35
Ward 4,2541,MILLER,1193,147,113,1178,98,393
Ward 4,2590,OVERLANDERS,811,294,284,1038,74,362
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,99,6,4,73,8,380
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,76,9,9,53,2,326
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,306,12,8,217,5,57
Ward 4,2710,SIFTON PARK,748,122,139,858,58,364
Ward 4,2720,YORK,1387,262,269,1498,152,268
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,640,200,188,959,48,340
Ward 5,4080,CALLINGWOOD SOUTH,1382,476,521,2341,206,662
Ward 5,4466,CAMERON HEIGHTS,548,54,38,384,7,94
Ward 5,4110,DECHENE,690,47,52,457,34,441
Ward 5,4120,DONSDALE,560,20,24,421,14,269
Ward 5,4140,ELMWOOD,893,129,147,812,103,529
Ward 5,4160,GARIEPY,862,59,91,593,54,229
Ward 5,4720,GLASTONBURY,2401,306,248,2038,164,827
Ward 5,4551,GRANVILLE,105,12,3,98,1,3
Ward 5,4220,JAMIESON PLACE,1668,148,124,1514,102,366
Ward 5,3270,LAURIER HEIGHTS,1133,83,88,680,98,558
Ward 5,4270,LYMBURN,2227,327,336,2493,127,419
Ward 5,4280,LYNNWOOD,1219,148,223,1127,122,463
Ward 5,4360,OLESKIW,1652,58,75,997,86,126
Ward 5,4380,ORMSBY PLACE,1986,252,311,2282,110,382
Ward 5,4390,PATRICIA HEIGHTS,601,133,119,695,34,169
Ward 5,4420,QUESNELL HEIGHTS,163,2,7,113,7,54
Ward 5,4430,RIO TERRACE,629,41,74,440,44,77
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,287,10,23,202,8,29
Ward 5,4461,THE HAMPTONS,3651,582,313,3489,94,1276
Ward 5,4560,THORNCLIFF,1140,287,204,1542,95,235
Ward 5,4570,WEDGEWOOD HEIGHTS,749,38,36,508,26,113
Ward 5,4610,WESTRIDGE,705,18,29,431,45,99
Ward 6,1020,BOYLE STREET,1108,329,568,1737,211,2994
Ward 6,1030,CENTRAL MCDOUGALL,812,346,362,1801,93,1298
Ward 6,1090,DOWNTOWN,1938,911,759,4799,274,3518
Ward 6,3200,GLENORA,1501,148,185,1224,117,339
Ward 6,3210,GROVENOR,808,173,179,899,68,235
Ward 6,1140,MCCAULEY,636,134,361,1238,156,1658
Ward 6,3300,MCQUEEN,465,56,104,495,108,460
Ward 6,3310,NORTH GLENORA,695,158,151,696,86,226
Ward 6,1150,OLIVER,3476,1393,1660,7045,759,4247
Ward 6,1180,QUEEN MARY PARK,1504,553,558,2870,135,1765
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,723,175,162,754,53,113
Ward 6,1220,ROSSDALE,257,63,47,308,17,127
Ward 6,3440,WESTMOUNT,1509,378,354,1962,126,1571
Ward 7,2010,ABBOTTSFIELD,334,142,130,705,33,544
Ward 7,1010,ALBERTA AVENUE,1518,439,496,2408,170,1145
Ward 7,2020,BALWIN,1139,228,304,1627,173,392
Ward 7,2040,BEACON HEIGHTS,845,242,218,950,165,603
Ward 7,2060,BELLEVUE,281,77,80,364,43,94
Ward 7,2090,BERGMAN,627,100,65,420,62,180
Ward 7,2100,BEVERLY HEIGHTS,1040,233,319,994,256,358
Ward 7,1070,CROMDALE,465,142,197,914,63,146
Ward 7,1080,DELTON,544,150,157,715,84,382
Ward 7,2230,DELWOOD,1406,171,216,1035,214,350
Ward 7,1100,EASTWOOD,817,317,394,1570,165,802
Ward 7,1120,EDMONTON NORTHLANDS,2,0,1,0,0,85
Ward 7,1130,ELMWOOD PARK,235,76,89,368,49,277
Ward 7,2290,GLENGARRY,1055,174,242,1057,222,166
Ward 7,2330,HIGHLANDS,990,181,177,921,137,225
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0
Ward 7,2400,KILDARE,853,146,198,989,203,374
Ward 7,2420,KILLARNEY,1022,359,332,1519,176,606
Ward 7,2550,MONTROSE,776,263,315,1239,127,529
Ward 7,2560,NEWTON,1063,164,196,962,182,343
Ward 7,2580,NORTHMOUNT,1232,148,205,1076,148,438
Ward 7,1160,PARKDALE,672,270,260,1174,102,727
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,914,234,275,1458,89,389
Ward 7,1240,VIRGINIA PARK,198,44,72,144,132,203
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0
Ward 8,5040,BELGRAVIA,834,76,90,827,78,236
Ward 8,6040,BONNIE DOON,1168,303,376,1689,176,838
Ward 8,6061,CAPILANO,1313,81,129,847,117,205
Ward 8,6070,CLOVERDALE,347,67,70,274,20,107
Ward 8,5150,CPR WEST,0,0,0,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1089,252,243,991,197,1223
Ward 8,6240,FULTON PLACE,953,121,126,859,162,23
Ward 8,5200,GARNEAU,1379,367,306,4622,195,2779
Ward 8,6270,GOLD BAR,1109,188,216,1137,149,41
Ward 8,6310,HOLYROOD,1114,248,302,1148,126,397
Ward 8,6320,IDYLWYLDE,536,123,157,568,161,233
Ward 8,6350,KENILWORTH,956,136,180,708,119,408
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,187
Ward 8,5290,MCKERNAN,532,119,89,1585,46,446
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,2189,322,406,1977,336,639
Ward 8,5330,QUEEN ALEXANDRA,868,282,281,2104,143,1016
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,1912,648,534,3612,154,2124
Ward 8,6710,STRATHEARN,704,205,339,919,147,308
Ward 8,6730,TERRACE HEIGHTS,622,150,169,911,105,375
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,537,21,43,512,32,1721
Ward 9,5458,ALLARD,130,6,5,83,0,17
Ward 9,5505,AMBLESIDE,961,157,77,646,12,475
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0
Ward 9,5590,BLACKBURNE,765,75,63,493,45,79
Ward 9,5453,BLACKMUD CREEK,1296,74,94,1001,44,68
Ward 9,5080,BRANDER GARDENS,923,143,231,968,83,87
Ward 9,5090,BROOKSIDE,852,71,106,704,59,124
Ward 9,5100,BULYEA HEIGHTS,1928,31,100,1243,94,195
Ward 9,5457,CALLAGHAN,548,68,46,417,11,87
Ward 9,5130,CARTER CREST,825,39,46,551,37,226
Ward 9,5462,CHAPPELLE AREA,54,26,4,61,1,5
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0
Ward 9,5190,FALCONER HEIGHTS,919,35,67,692,159,198
Ward 9,5610,HADDOW,2040,149,150,1636,130,237
Ward 9,5230,HENDERSON ESTATES,1006,20,44,661,35,127
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0
Ward 9,5620,HODGSON,1270,80,68,1024,60,152
Ward 9,5630,LEGER,1159,42,76,1047,55,185
Ward 9,5452,MACEWAN,2289,282,289,2312,90,367
Ward 9,5477,MACTAGGART,814,34,39,591,25,184
Ward 9,5476,MAGRATH HEIGHTS,1341,39,54,1069,43,264
Ward 9,5300,OGILVIE RIDGE,529,21,23,299,21,108
Ward 9,5340,RAMSAY HEIGHTS,1494,151,191,1215,101,197
Ward 9,5350,RHATIGAN RIDGE,1743,69,101,1133,81,125
Ward 9,5451,RICHFORD,269,12,12,164,18,55
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0
Ward 9,5454,RUTHERFORD,3439,389,244,3119,83,1133
Ward 9,5641,SOUTH TERWILLEGAR,3019,458,290,2969,49,747
Ward 9,5640,TERWILLEGAR TOWNE,2580,229,237,2390,201,990
Ward 9,5511,TWIN BROOKS,3130,142,191,2269,163,540
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,962,104,60,759,5,246
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0
Ward 10,5010,ALLENDALE,680,200,192,1244,87,319
Ward 10,5020,ASPEN GARDENS,764,68,67,606,43,90
Ward 10,5030,BEARSPAW,1117,29,78,447,92,363
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,1566,200,316,1908,88,490
Ward 10,5070,BLUE QUILL ESTATES,551,42,71,442,19,171
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0
Ward 10,5160,DUGGAN,1743,155,231,1793,115,510
Ward 10,5170,EMPIRE PARK,1357,408,300,2159,112,850
Ward 10,5180,ERMINESKIN,1689,258,397,1665,338,900
Ward 10,5210,GRANDVIEW HEIGHTS,515,13,21,303,36,202
Ward 10,5220,GREENFIELD,1751,123,157,1308,139,162
Ward 10,5250,KEHEEWIN,1245,102,160,1063,158,194
Ward 10,5260,LANSDOWNE,509,15,61,464,40,125
Ward 10,5270,LENDRUM PLACE,723,85,105,650,73,252
Ward 10,5280,MALMO PLAINS,1483,108,129,1175,98,312
Ward 10,5310,PARKALLEN,726,134,144,1021,49,141
Ward 10,5320,PLEASANTVIEW,1224,214,267,1288,255,507
Ward 10,5360,RIDEAU PARK,627,73,111,557,79,436
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1214,161,238,1384,112,372
Ward 10,5460,SKYRATTLER,580,137,189,608,41,392
Ward 10,5470,STEINHAUER,769,51,69,616,52,310
Ward 10,5490,SWEET GRASS,1028,71,123,1062,46,306
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,590,26,51,428,39,91
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6010,ARGYLL,348,45,49,325,30,53
Ward 11,6020,AVONMORE,797,152,128,649,108,253
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0
Ward 11,6200,EKOTA,939,122,163,857,61,418
Ward 11,6250,GAINER INDUSTRIAL,68,22,10,97,9,10
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,59
Ward 11,6280,GREENVIEW,1289,129,129,1044,58,278
Ward 11,6290,HAZELDEAN,872,291,180,1114,101,618
Ward 11,6300,HILLVIEW,1265,129,216,1062,76,699
Ward 11,6340,KAMEYOSEK,955,101,161,1162,189,339
Ward 11,6360,KING EDWARD PARK,1057,352,313,1567,139,810
Ward 11,6400,LEE RIDGE,992,147,193,1310,74,23
Ward 11,6410,MAPLE RIDGE,524,185,176,547,58,221
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,28,4,6,19,2,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6450,MENISA,1075,100,186,940,74,169
Ward 11,6460,MEYOKUMIN,1063,97,156,1050,58,474
Ward 11,6470,MEYONOHK,1065,185,168,1176,62,286
Ward 11,6480,MICHAELS PARK,944,92,138,949,73,5
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,362,52,111,253,179,290
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,1243,164,205,1572,84,31
Ward 11,6610,RITCHIE,996,359,329,1608,174,728
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0
Ward 11,6670,SAKAW,1637,209,226,1834,84,123
Ward 11,6680,SATOO,1336,175,157,1240,95,388
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0
Ward 11,6720,TAWA,613,87,158,565,194,355
Ward 11,6750,TIPASKAN,1034,149,153,996,42,528
Ward 11,6760,TWEDDLE PLACE,1269,113,170,1467,103,6
Ward 11,6780,WEIR INDUSTRIAL,11,16,14,21,5,15
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0
Ward 12,6030,BISSET,1471,144,179,1248,70,738
Ward 12,6661,CHARLESWORTH,1219,222,76,880,28,516
Ward 12,6140,CRAWFORD PLAINS,1694,251,213,1671,66,499
Ward 12,6150,DALY GROVE,1325,224,219,1534,67,182
Ward 12,6211,ELLERSLIE,2027,312,201,2182,56,788
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0
Ward 12,6330,JACKSON HEIGHTS,1743,88,136,1434,109,420
Ward 12,6370,KINISKI GARDENS,2661,381,299,2688,115,505
Ward 12,6390,LARKSPUR,2170,195,162,1954,95,412
Ward 12,6444,LAUREL,726,95,49,663,13,60
Ward 12,6441,MAPLE,0,0,0,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0
Ward 12,6530,MINCHAU,1193,152,155,1229,62,321
Ward 12,6580,POLLARD MEADOWS,1860,198,302,1837,116,263
Ward 12,6660,RURAL SOUTH EAST,101,4,8,63,9,15
Ward 12,6442,SILVER BERRY,3359,331,202,3238,109,850
Ward 12,6213,SUMMERSIDE,2985,316,142,2509,77,1947
Ward 12,6443,TAMARACK,903,135,55,807,15,433
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0,0,0,0
Ward 12,6662,WALKER,841,103,50,476,9,557
Ward 12,6770,WEINLOS,1382,132,181,1338,116,296
Ward 12,6790,WILD ROSE,3519,285,200,2963,140,924
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0
