WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,3140,CRESTWOOD,900,44,9,0
Ward 1,3330,PARKVIEW,1285,45,3,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
Ward 1,4020,ALDERGROVE,1935,42,5,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,15,1,0,0
Ward 1,4040,BELMEAD,1653,24,33,0
Ward 1,4060,BRITANNIA YOUNGSTOWN,2306,75,48,0
Ward 1,4090,CANORA,1525,144,183,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
Ward 1,4180,GLENWOOD,2269,124,53,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
Ward 1,4200,HIGH PARK,597,70,14,0
Ward 1,4230,JASPER PARK,850,47,47,0
Ward 1,4240,LA PERLE,1964,56,5,0
Ward 1,4290,MAYFIELD,858,25,3,0
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,1182,21,10,0
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,56,5,13,0
Ward 1,4471,TRUMPETER AREA,211,6,6,0
Ward 1,4473,HAWKS RIDGE,25,2,1,0
Ward 1,4474,STARLING,73,4,2,0
Ward 1,4475,KINOKAMAU PLAINS AREA,42,2,4,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,33,2,12,0
Ward 1,4486,STEWART GREENS,0,0,0,0
Ward 1,4487,SECORD,722,26,9,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4500,SHERWOOD,586,39,8,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0
Ward 1,4520,SUMMERLEA,909,92,3,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
Ward 1,4540,TERRA LOSA,1290,150,11,0
Ward 1,4580,WEST JASPER PLACE,1549,58,44,0
Ward 1,4590,WEST MEADOWLARK PARK,1498,119,11,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1042,26,16,0
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,19,0,7,0
Ward 1,4700,BRECKENRIDGE GREENS,758,11,0,0
Ward 1,4710,POTTER GREENS,565,4,0,0
Ward 1,4730,SUDER GREENS,1155,47,6,0
Ward 1,4740,WEBBER GREENS,537,51,0,0
Ward 1,4750,ROSENTHAL,31,1,3,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0
Ward 2,1170,PRINCE RUPERT,642,56,42,0
Ward 2,1230,SPRUCE AVENUE,886,235,97,0
Ward 2,1250,WESTWOOD,1941,118,78,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0
Ward 2,3010,ATHLONE,1145,56,58,0
Ward 2,3020,BARANOW,779,80,11,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0
Ward 2,3060,CAERNARVON,1567,32,15,0
Ward 2,3070,CALDER,1832,95,227,0
Ward 2,3090,CARLISLE,1362,30,15,0
Ward 2,3111,GRIESBACH,1395,316,15,0
Ward 2,3150,CUMBERLAND,2152,11,7,0
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0
Ward 2,3170,DOVERCOURT,872,30,42,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0
Ward 2,3240,INGLEWOOD,3671,345,131,0
Ward 2,3250,KENSINGTON,1667,69,117,0
Ward 2,3260,LAUDERDALE,1172,62,73,0
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0
Ward 2,3320,OXFORD,1189,79,9,0
Ward 2,3340,PEMBINA,282,10,7,0
Ward 2,3350,PRINCE CHARLES,644,41,59,0
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0
Ward 2,3390,ROSSLYN,1302,36,23,0
Ward 2,3410,SHERBROOKE,1018,80,51,0
Ward 2,3430,WELLINGTON,1209,28,3,0
Ward 2,3450,WOODCROFT,1292,65,55,0
Ward 2,3460,ALBANY,246,24,3,0
Ward 2,3470,CARLTON,1287,413,9,0
Ward 2,3480,HUDSON,668,26,2,0
Ward 2,3490,GOODRIDGE CORNERS,0,0,1,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0
Ward 3,2050,BELLE RIVE,1163,13,7,0
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0
Ward 3,2241,EAUX CLAIRES,1149,16,62,0
Ward 3,2260,EVANSDALE,2104,31,16,0
Ward 3,2410,KILKENNY,2094,50,36,0
Ward 3,2440,KLARVATTEN,1785,52,5,0
Ward 3,2450,LAGO LINDO,1381,13,5,0
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0,0
Ward 3,2511,MAYLIEWAN,1273,7,5,0
Ward 3,2600,OZERNA,1382,8,5,0
Ward 3,2700,SCHONSEE,823,126,6,0
Ward 3,3030,BATURYN,1750,25,8,0
Ward 3,3040,BEAUMARIS,1923,52,20,0
Ward 3,3080,CANOSSA,1021,21,1,0
Ward 3,3120,CHAMBERY,659,32,0,0
Ward 3,3180,DUNLUCE,2449,51,74,0
Ward 3,3190,ELSINORE,777,51,7,0
Ward 3,3280,LORELEI,1433,28,22,0
Ward 3,3370,RAPPERSWILL,330,22,0,0
Ward 3,3490,GOODRIDGE CORNERS,6,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0
Ward 4,2030,BANNERMAN,1191,34,9,0
Ward 4,2070,BELMONT,1995,64,13,0
Ward 4,2080,BELVEDERE,2433,146,105,0
Ward 4,2110,BRINTNELL,1776,220,3,0
Ward 4,2120,CANON RIDGE,1022,51,6,0
Ward 4,2130,CASSELMAN,1405,102,19,0
Ward 4,2145,CLAREVIEW TOWN CENTRE,1464,106,137,0
Ward 4,2160,CLOVER BAR AREA,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0
Ward 4,2270,EVERGREEN,666,27,11,0
Ward 4,2280,FRASER,1218,52,31,0
Ward 4,2311,GORMAN,0,0,0,0
Ward 4,2320,HAIRSINE,968,37,8,0
Ward 4,2340,HOLLICK-KENYON,1847,262,10,0
Ward 4,2350,HOMESTEADER,1306,63,12,0
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0
Ward 4,2390,KERNOHAN,1148,37,7,0
Ward 4,2430,KIRKNESS,1429,43,6,0
Ward 4,2500,MATT BERRY,1281,13,4,0
Ward 4,2521,MCCONACHIE AREA,1008,199,10,0
Ward 4,2530,MCLEOD,872,9,8,0
Ward 4,2541,MILLER,1118,23,23,0
Ward 4,2590,OVERLANDERS,1267,11,12,0
Ward 4,2611,CY BECKER,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,87,3,15,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,72,3,14,0
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,217,4,19,0
Ward 4,2710,SIFTON PARK,887,51,24,0
Ward 4,2720,YORK,1505,33,52,0
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1164,74,5,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1113,48,24,0
Ward 5,4080,CALLINGWOOD SOUTH,2892,75,62,0
Ward 5,4110,DECHENE,592,4,2,0
Ward 5,4120,DONSDALE,449,128,1,0
Ward 5,4140,ELMWOOD,998,70,6,0
Ward 5,4160,GARIEPY,725,15,2,0
Ward 5,4220,JAMIESON PLACE,1325,8,10,0
Ward 5,4270,LYMBURN,2145,55,4,0
Ward 5,4280,LYNNWOOD,1412,28,24,0
Ward 5,4360,OLESKIW,1084,19,22,0
Ward 5,4380,ORMSBY PLACE,1897,43,7,0
Ward 5,4390,PATRICIA HEIGHTS,693,29,6,0
Ward 5,4420,QUESNELL HEIGHTS,120,0,3,0
Ward 5,4430,RIO TERRACE,498,11,1,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0
Ward 5,4460,RURAL WEST,165,15,16,0
Ward 5,4461,THE HAMPTONS,3686,129,19,0
Ward 5,4462,EDGEMONT,38,1,8,0
Ward 5,4466,CAMERON HEIGHTS,463,57,0,0
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0
Ward 5,4551,GRANVILLE,307,36,0,0
Ward 5,4560,THORNCLIFF,1313,31,18,0
Ward 5,4570,WEDGEWOOD HEIGHTS,512,7,3,0
Ward 5,4610,WESTRIDGE,483,15,1,0
Ward 5,4720,GLASTONBURY,2399,82,52,0
Ward 6,1020,BOYLE STREET,4026,465,228,0
Ward 6,1030,CENTRAL MCDOUGALL,3061,157,158,0
Ward 6,1090,DOWNTOWN,8678,348,204,0
Ward 6,1140,MCCAULEY,2579,378,558,0
Ward 6,1150,OLIVER,12794,495,625,0
Ward 6,1180,QUEEN MARY PARK,4137,196,56,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0
Ward 6,1210,RIVERDALE,966,35,66,0
Ward 6,1220,ROSSDALE,475,17,12,0
Ward 6,3200,GLENORA,1496,51,41,0
Ward 6,3210,GROVENOR,1025,29,26,0
Ward 6,3300,MCQUEEN,819,14,82,0
Ward 6,3310,NORTH GLENORA,833,52,19,0
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0
Ward 6,3440,WESTMOUNT,3245,154,206,0
Ward 7,1010,ALBERTA AVENUE,2856,310,603,0
Ward 7,1070,CROMDALE,1200,66,99,0
Ward 7,1080,DELTON,877,41,99,0
Ward 7,1100,EASTWOOD,2031,212,122,0
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0
Ward 7,1130,ELMWOOD PARK,591,30,29,0
Ward 7,1160,PARKDALE,1649,159,169,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0
Ward 7,1240,VIRGINIA PARK,425,17,74,0
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0
Ward 7,2010,ABBOTTSFIELD,708,18,9,0
Ward 7,2020,BALWIN,1542,176,55,0
Ward 7,2040,BEACON HEIGHTS,1297,50,43,0
Ward 7,2060,BELLEVUE,492,20,0,0
Ward 7,2090,BERGMAN,573,14,4,0
Ward 7,2100,BEVERLY HEIGHTS,1602,54,31,0
Ward 7,2230,DELWOOD,1354,37,19,0
Ward 7,2290,GLENGARRY,1227,53,32,0
Ward 7,2330,HIGHLANDS,1218,72,72,0
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0
Ward 7,2400,KILDARE,1216,62,5,0
Ward 7,2420,KILLARNEY,1731,99,102,0
Ward 7,2550,MONTROSE,1414,143,98,0
Ward 7,2560,NEWTON,1225,59,66,0
Ward 7,2580,NORTHMOUNT,1320,14,8,0
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,1398,30,12,0
Ward 8,5040,BELGRAVIA,940,17,58,0
Ward 8,5151,STRATHCONA JUNCTION,0,0,0,0
Ward 8,5200,GARNEAU,5518,724,418,0
Ward 8,5290,MCKERNAN,1087,107,245,0
Ward 8,5330,QUEEN ALEXANDRA,2849,165,219,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0
Ward 8,5480,STRATHCONA,5579,229,537,0
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0
Ward 8,5580,WINDSOR PARK,470,27,21,0
Ward 8,6040,BONNIE DOON,2263,178,317,0
Ward 8,6061,CAPILANO,1077,26,9,0
Ward 8,6070,CLOVERDALE,433,41,34,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1950,126,297,0
Ward 8,6240,FULTON PLACE,958,15,17,0
Ward 8,6270,GOLD BAR,1138,16,15,0
Ward 8,6310,HOLYROOD,1541,37,93,0
Ward 8,6320,IDYLWYLDE,929,48,53,0
Ward 8,6350,KENILWORTH,1075,31,15,0
Ward 8,6380,LAMBTON INDUSTRIAL,3,0,0,0
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0
Ward 8,6550,OTTEWELL,2634,62,33,0
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0
Ward 8,6710,STRATHEARN,1485,60,168,0
Ward 8,6730,TERRACE HEIGHTS,1143,8,93,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0
Ward 9,5080,BRANDER GARDENS,1057,38,26,0
Ward 9,5090,BROOKSIDE,717,2,5,0
Ward 9,5100,BULYEA HEIGHTS,1205,1,3,0
Ward 9,5130,CARTER CREST,605,6,13,0
Ward 9,5190,FALCONER HEIGHTS,805,83,11,0
Ward 9,5230,HENDERSON ESTATES,617,5,2,0
Ward 9,5300,OGILVIE RIDGE,356,6,0,0
Ward 9,5340,RAMSAY HEIGHTS,1378,29,70,0
Ward 9,5350,RHATIGAN RIDGE,1121,10,8,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0
Ward 9,5451,RICHFORD,213,14,0,0
Ward 9,5452,MACEWAN,2344,28,61,0
Ward 9,5453,BLACKMUD CREEK,961,100,8,0
Ward 9,5454,RUTHERFORD,3942,401,54,0
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0
Ward 9,5457,CALLAGHAN,790,42,17,0
Ward 9,5458,ALLARD,489,76,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0
Ward 9,5462,CHAPPELLE AREA,642,277,22,0
Ward 9,5463,DESROCHERS AREA,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0,0
Ward 9,5466,CASHMAN,0,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,1029,29,97,0
Ward 9,5477,MACTAGGART,814,156,9,0
Ward 9,5505,AMBLESIDE,1473,359,5,0
Ward 9,5511,TWIN BROOKS,2257,12,5,0
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0
Ward 9,5570,WINDERMERE,1948,658,12,0
Ward 9,5575,WINDERMERE AREA,0,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0,0
Ward 9,5577,GLENRIDDING AREA,127,76,1,0
Ward 9,5590,BLACKBURNE,582,8,29,0
Ward 9,5610,HADDOW,1544,32,31,0
Ward 9,5620,HODGSON,961,15,10,0
Ward 9,5630,LEGER,794,9,3,0
Ward 9,5640,TERWILLEGAR TOWNE,2299,30,45,0
Ward 9,5642,SOUTH TERWILLEGAR,3553,139,107,0
Ward 10,5010,ALLENDALE,1304,94,127,0
Ward 10,5020,ASPEN GARDENS,630,10,13,0
Ward 10,5030,BEARSPAW,798,34,0,0
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0
Ward 10,5060,BLUE QUILL,1971,31,87,0
Ward 10,5070,BLUE QUILL ESTATES,551,8,10,0
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0
Ward 10,5160,DUGGAN,1773,29,70,0
Ward 10,5170,EMPIRE PARK,2397,64,4,0
Ward 10,5180,ERMINESKIN,2657,43,42,0
Ward 10,5210,GRANDVIEW HEIGHTS,444,2,1,0
Ward 10,5220,GREENFIELD,1376,13,3,0
Ward 10,5250,KEHEEWIN,1180,64,6,0
Ward 10,5260,LANSDOWNE,542,4,2,0
Ward 10,5270,LENDRUM PLACE,825,22,21,0
Ward 10,5280,MALMO PLAINS,1273,16,14,0
Ward 10,5310,PARKALLEN,1031,68,72,0
Ward 10,5320,PLEASANTVIEW,2003,25,73,0
Ward 10,5360,RIDEAU PARK,1109,22,13,0
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1425,25,31,0
Ward 10,5460,SKYRATTLER,1118,30,8,0
Ward 10,5470,STEINHAUER,777,7,1,0
Ward 10,5490,SWEET GRASS,1082,50,0,0
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,479,12,4,0
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0
Ward 11,6010,ARGYLL,338,9,15,0
Ward 11,6020,AVONMORE,983,22,33,0
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0
Ward 11,6200,EKOTA,937,14,6,0
Ward 11,6250,GAINER INDUSTRIAL,168,13,0,0
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0
Ward 11,6280,GREENVIEW,1075,8,5,0
Ward 11,6290,HAZELDEAN,1340,100,197,0
Ward 11,6300,HILLVIEW,1362,32,17,0
Ward 11,6340,KAMEYOSEK,1145,21,6,0
Ward 11,6360,KING EDWARD PARK,2068,101,268,0
Ward 11,6400,LEE RIDGE,1030,38,10,0
Ward 11,6410,MAPLE RIDGE,827,35,11,0
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,18,2,2,0
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0
Ward 11,6450,MENISA,906,20,4,0
Ward 11,6460,MEYOKUMIN,1023,30,4,0
Ward 11,6470,MEYONOHK,1100,36,8,0
Ward 11,6480,MICHAELS PARK,813,28,18,0
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,648,29,136,0
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0
Ward 11,6600,RICHFIELD,1155,33,13,0
Ward 11,6610,RITCHIE,2170,180,210,0
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0
Ward 11,6670,SAKAW,1362,41,6,0
Ward 11,6680,SATOO,1231,34,7,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0
Ward 11,6720,TAWA,977,72,16,0
Ward 11,6750,TIPASKAN,1073,25,16,0
Ward 11,6760,TWEDDLE PLACE,1121,25,1,0
Ward 11,6780,WEIR INDUSTRIAL,43,26,0,0
Ward 12,6030,BISSET,1396,15,4,0
Ward 12,6140,CRAWFORD PLAINS,1478,5,6,0
Ward 12,6150,DALY GROVE,1225,27,5,0
Ward 12,6211,ELLERSLIE,2064,9,13,0
Ward 12,6213,SUMMERSIDE,3829,122,22,0
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,290,81,2,0
Ward 12,6330,JACKSON HEIGHTS,1254,18,5,0
Ward 12,6370,KINISKI GARDENS,2180,41,3,0
Ward 12,6390,LARKSPUR,1730,20,13,0
Ward 12,6440,MEADOWS AREA,0,0,0,0
Ward 12,6441,MAPLE,108,26,7,0
Ward 12,6442,SILVER BERRY,2520,50,6,0
Ward 12,6443,TAMARACK,1124,29,11,0
Ward 12,6444,LAUREL,1332,159,0,0
Ward 12,6530,MINCHAU,1111,22,4,0
Ward 12,6580,POLLARD MEADOWS,1649,23,26,0
Ward 12,6660,RURAL SOUTH EAST,92,0,3,0
Ward 12,6661,CHARLESWORTH,1335,70,3,0
Ward 12,6662,WALKER,1504,82,6,0
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0
Ward 12,6770,WEINLOS,1177,27,12,0
Ward 12,6790,WILD ROSE,2416,56,11,0
