Ward,Neighbourhood Number,Neighbourhood Name,Occupied,Unoccupied,No Longer In Use,No Response
WARD 1,3140,CRESTWOOD,916,32,0,0
WARD 1,3330,PARKVIEW,1300,46,6,0
WARD 6,3210,GROVENOR,938,172,49,0
WARD 11,6680,SATOO,1225,44,0,0
WARD 4,2611,CY BECKER,225,33,3,0
WARD 4,2251,EBBERS,37,19,0,0
WARD 5,4380,ORMSBY PLACE,1900,56,0,0
WARD 1,4090,CANORA,1510,167,25,0
WARD 10,5280,MALMO PLAINS,1230,54,18,0
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,292,54,0,0
WARD 9,5453,BLACKMUD CREEK,1038,26,0,0
WARD 10,5020,ASPEN GARDENS,630,18,0,0
WARD 8,5040,BELGRAVIA,920,35,17,0
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
WARD 6,1150,OLIVER,12501,1475,177,0
WARD 6,1020,BOYLE STREET,3972,815,126,0
WARD 7,1160,PARKDALE,1602,174,72,0
WARD 12,6790,WILD ROSE,2440,58,16,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0
WARD 12,6660,RURAL SOUTH EAST,61,32,0,0
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,3047,371,174,0
WARD 11,6400,LEE RIDGE,985,85,3,0
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0
WARD 4,2541,MILLER,1117,31,0,0
WARD 2,3460,ALBANY,548,59,3,0
WARD 2,1250,WESTWOOD,1827,321,2,0
WARD 9,5590,BLACKBURNE,557,22,2,0
WARD 9,5340,RAMSAY HEIGHTS,1362,52,2,0
WARD 1,4240,LA PERLE,1953,77,11,0
WARD 7,2420,KILLARNEY,1694,181,36,0
WARD 2,3350,PRINCE CHARLES,586,101,13,0
WARD 5,4570,WEDGEWOOD HEIGHTS,502,14,0,0
WARD 6,1220,ROSSDALE,467,32,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,435,12,1,0
WARD 5,4140,ELMWOOD,998,74,2,0
WARD 1,4700,BRECKENRIDGE GREENS,748,18,7,0
WARD 3,3030,BATURYN,1748,49,4,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
WARD 12,6443,TAMARACK,1438,203,0,0
WARD 5,4466,CAMERON HEIGHTS,540,205,0,0
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0
WARD 9,5505,AMBLESIDE,2206,186,5,0
WARD 6,3440,WESTMOUNT,3052,400,81,0
WARD 3,2260,EVANSDALE,2116,84,1,0
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
WARD 10,5320,PLEASANTVIEW,1978,96,10,0
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0
WARD 11,6020,AVONMORE,968,49,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0
WARD 6,1090,DOWNTOWN,8690,1201,345,0
WARD 4,2720,YORK,1455,78,8,0
WARD 5,4610,WESTRIDGE,485,14,0,0
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0
WARD 1,4040,BELMEAD,1642,68,28,0
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0
WARD 9,5577,GLENRIDDING AREA,513,163,2,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0
WARD 8,6550,OTTEWELL,2489,298,16,0
WARD 9,5467,CAVANAGH,0,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
WARD 2,3250,KENSINGTON,1639,98,33,0
WARD 12,6770,WEINLOS,1165,42,1,0
WARD 9,5468,GRAYDON HILL,52,100,0,0
WARD 2,3320,OXFORD,1333,111,3,0
WARD 11,6300,HILLVIEW,1349,50,2,0
WARD 1,4011,ANTHONY HENDAY,0,0,0,0
WARD 4,2320,HAIRSINE,968,42,1,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0
WARD 10,5470,STEINHAUER,775,14,1,0
WARD 11,6670,SAKAW,1381,35,0,0
WARD 10,5250,KEHEEWIN,1215,28,0,0
WARD 10,5490,SWEET GRASS,1061,74,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0
WARD 6,1180,QUEEN MARY PARK,3947,662,17,0
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0
WARD 1,4230,JASPER PARK,837,60,27,0
WARD 2,3111,GRIESBACH,1754,436,6,0
WARD 12,6150,DALY GROVE,1175,73,4,0
WARD 7,2010,ABBOTTSFIELD,685,44,1,0
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0
WARD 2,3410,SHERBROOKE,1066,48,9,0
WARD 1,4710,POTTER GREENS,566,3,0,0
WARD 11,6360,KING EDWARD PARK,1918,249,110,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0
WARD 7,2400,KILDARE,1166,75,3,0
WARD 4,2530,MCLEOD,862,22,0,0
WARD 4,2120,CANON RIDGE,1029,49,1,0
WARD 9,5462,CHAPPELLE AREA,1642,405,0,0
WARD 5,4110,DECHENE,592,4,0,0
WARD 11,6460,MEYOKUMIN,1015,33,10,0
WARD 3,2241,EAUX CLAIRES,1252,124,6,0
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,30,2,2,0
WARD 2,3170,DOVERCOURT,866,40,2,0
WARD 10,5270,LENDRUM PLACE,819,32,2,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0
WARD 10,5540,WESTBROOK ESTATES,482,11,0,0
WARD 10,5430,ROYAL GARDENS,1402,52,9,0
WARD 12,6213,SUMMERSIDE,4491,486,23,0
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0
WARD 3,2463,CRYSTALLINA NERA WEST,360,135,1,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0
WARD 2,3070,CALDER,1749,262,52,0
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,19,27,0,0
WARD 9,5469,PAISLEY,189,33,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
WARD 3,2050,BELLE RIVE,1162,19,0,0
WARD 1,4475,KINOKAMAU PLAINS AREA,49,6,0,0
WARD 9,5458,ALLARD,1058,753,0,0
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,233,3,0,0
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
WARD 5,4461,THE HAMPTONS,4003,428,4,0
WARD 8,6710,STRATHEARN,1480,71,18,0
WARD 8,6240,FULTON PLACE,938,42,5,0
WARD 1,4730,SUDER GREENS,1167,35,0,0
WARD 5,3270,LAURIER HEIGHTS,1215,38,3,0
WARD 4,2030,BANNERMAN,1157,70,7,0
WARD 11,6110,CPR IRVINE,99,7,0,0
WARD 2,3430,WELLINGTON,1180,82,0,0
WARD 5,4462,EDGEMONT,538,244,3,0
WARD 8,5200,GARNEAU,5566,664,104,0
WARD 1,4180,GLENWOOD,2184,230,23,0
WARD 9,5100,BULYEA HEIGHTS,1190,18,3,0
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0
WARD 7,1100,EASTWOOD,1897,399,54,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0
WARD 11,6470,MEYONOHK,1112,29,0,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,142,2,1,0
WARD 9,5130,CARTER CREST,611,6,0,0
WARD 10,5030,BEARSPAW,817,79,0,0
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0
WARD 10,5220,GREENFIELD,1401,68,40,0
WARD 9,5300,OGILVIE RIDGE,360,3,0,0
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0
WARD 12,6441,MAPLE,408,114,0,0
WARD 11,6510,MILL WOODS PARK,0,0,0,0
WARD 10,5170,EMPIRE PARK,2300,169,2,0
WARD 5,4120,DONSDALE,528,185,0,0
WARD 11,6600,RICHFIELD,1129,57,2,0
WARD 7,1070,CROMDALE,1101,178,1,0
WARD 7,1080,DELTON,847,96,23,0
WARD 8,6270,GOLD BAR,1121,52,21,0
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0
WARD 10,5010,ALLENDALE,1258,197,54,0
WARD 12,6444,LAUREL,2155,448,7,0
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0
WARD 6,3310,NORTH GLENORA,803,91,0,0
WARD 12,6530,MINCHAU,1077,55,7,0
WARD 2,3020,BARANOW,975,139,0,0
WARD 8,6230,FOREST HEIGHTS,1897,547,93,0
WARD 9,5454,RUTHERFORD,4095,189,7,0
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,2074,145,3,0
WARD 5,4360,OLESKIW,1090,14,0,0
WARD 1,4590,WEST MEADOWLARK PARK,1470,159,16,0
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0
WARD 1,4486,STEWART GREENS,75,19,0,0
WARD 11,6290,HAZELDEAN,1348,142,25,0
WARD 9,5620,HODGSON,942,33,1,0
WARD 1,4200,HIGH PARK,663,15,13,0
WARD 4,2521,MCCONACHIE AREA,1918,216,1,0
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
WARD 4,2350,HOMESTEADER,1273,151,2,0
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0
WARD 7,2560,NEWTON,1150,155,3,0
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0
WARD 11,6010,ARGYLL,335,18,0,0
WARD 7,2580,NORTHMOUNT,1301,45,2,0
WARD 8,6350,KENILWORTH,1053,53,0,0
WARD 1,4487,SECORD,1130,128,0,0
WARD 11,6250,GAINER INDUSTRIAL,235,4,2,0
WARD 6,1030,CENTRAL MCDOUGALL,2993,442,11,0
WARD 9,5465,HAYS RIDGE AREA,52,57,0,0
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0
WARD 12,6140,CRAWFORD PLAINS,1427,43,4,0
WARD 4,2590,OVERLANDERS,1227,53,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0
WARD 1,4020,ALDERGROVE,1911,70,30,0
WARD 1,4750,ROSENTHAL,532,79,2,0
WARD 2,3450,WOODCROFT,1180,162,22,0
WARD 12,6580,POLLARD MEADOWS,1573,97,3,0
WARD 3,3280,LORELEI,1415,49,1,0
WARD 3,2700,SCHONSEE,1016,327,0,0
WARD 6,1210,RIVERDALE,956,58,4,0
WARD 8,6320,IDYLWYLDE,934,48,17,0
WARD 5,4420,QUESNELL HEIGHTS,120,2,0,0
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0
WARD 3,2440,KLARVATTEN,1861,51,1,0
WARD 8,6731,RIVER VALLEY WALTERDALE,1,0,0,0
WARD 5,4160,GARIEPY,737,13,0,0
WARD 8,6070,CLOVERDALE,438,37,12,0
WARD 4,2160,CLOVER BAR AREA,7,0,0,0
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0
WARD 8,6380,LAMBTON INDUSTRIAL,3,0,0,0
WARD 4,2280,FRASER,1275,89,2,0
WARD 9,5466,CASHMAN,0,0,0,0
WARD 3,3490,GOODRIDGE CORNERS,2,0,0,0
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,754,123,0,0
WARD 2,3470,CARLTON,1664,147,0,0
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
WARD 4,2130,CASSELMAN,1387,109,12,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0
WARD 7,1240,VIRGINIA PARK,419,14,14,0
WARD 7,2100,BEVERLY HEIGHTS,1632,105,25,0
WARD 8,6730,TERRACE HEIGHTS,1148,51,1,0
WARD 5,4430,RIO TERRACE,496,11,4,0
WARD 8,5580,WINDSOR PARK,482,23,1,0
WARD 5,4270,LYMBURN,2127,64,13,0
WARD 4,2080,BELVEDERE,2375,309,18,0
WARD 5,4080,CALLINGWOOD SOUTH,2839,166,24,0
WARD 1,4474,STARLING,272,5,0,0
WARD 4,2390,KERNOHAN,1173,81,1,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0
WARD 3,3180,DUNLUCE,2387,140,2,0
WARD 7,2290,GLENGARRY,1241,62,9,0
WARD 10,5060,BLUE QUILL,1941,64,10,0
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0
WARD 9,5570,WINDERMERE,3136,487,27,0
WARD 9,5476,MAGRATH HEIGHTS,1176,70,0,0
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0
WARD 12,6390,LARKSPUR,1721,84,4,0
WARD 9,5642,SOUTH TERWILLEGAR,3426,426,9,0
WARD 4,2145,CLAREVIEW TOWN CENTRE,1422,777,8,0
WARD 1,4580,WEST JASPER PLACE,1474,155,12,0
WARD 4,2070,BELMONT,1958,88,5,0
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0
WARD 11,6720,TAWA,936,111,2,0
WARD 8,6061,CAPILANO,1080,25,1,0
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0
WARD 1,4030,ARMSTRONG INDUSTRIAL,17,1,0,0
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0
WARD 10,5460,SKYRATTLER,1098,62,0,0
WARD 9,5451,RICHFORD,303,45,2,0
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0
WARD 11,6750,TIPASKAN,1008,101,3,0
WARD 3,2511,MAYLIEWAN,1254,28,0,0
WARD 1,4520,SUMMERLEA,916,94,1,0
WARD 10,5260,LANSDOWNE,518,27,2,0
WARD 5,4720,GLASTONBURY,2465,85,7,0
WARD 11,6760,TWEDDLE PLACE,1105,30,3,0
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0
WARD 7,2330,HIGHLANDS,1202,112,32,0
WARD 2,3010,ATHLONE,1148,173,3,0
WARD 3,3080,CANOSSA,1027,15,1,0
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0
WARD 7,1130,ELMWOOD PARK,555,78,1,0
WARD 10,5160,DUGGAN,1688,144,9,0
WARD 1,4471,TRUMPETER AREA,424,61,0,0
WARD 5,4070,CALLINGWOOD NORTH,1109,62,0,0
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
WARD 2,3260,LAUDERDALE,1193,113,3,0
WARD 3,2410,KILKENNY,2035,126,0,0
WARD 9,5576,KESWICK AREA,208,51,0,0
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0
WARD 2,3240,INGLEWOOD,3465,719,34,0
WARD 9,5190,FALCONER HEIGHTS,809,78,8,0
WARD 11,6610,RITCHIE,2048,421,26,0
WARD 5,4560,THORNCLIFF,1265,96,0,0
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0
WARD 9,5090,BROOKSIDE,704,13,3,0
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0
WARD 7,2040,BEACON HEIGHTS,1203,152,59,0
WARD 3,3040,BEAUMARIS,1959,19,1,0
WARD 12,6030,BISSET,1371,45,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0
WARD 11,6280,GREENVIEW,955,123,6,0
WARD 9,5640,TERWILLEGAR TOWNE,2266,103,0,0
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0
WARD 10,5180,ERMINESKIN,2444,229,33,0
WARD 1,4485,LEWIS FARMS INDUSTRIAL,33,4,4,0
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0
WARD 1,4620,WESTVIEW VILLAGE,1043,33,0,0
WARD 9,5575,WINDERMERE AREA,0,0,0,0
WARD 4,2311,GORMAN,0,0,0,0
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0
WARD 4,2500,MATT BERRY,1242,54,3,0
WARD 9,5610,HADDOW,1548,33,3,0
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0
WARD 9,5630,LEGER,788,18,0,0
WARD 6,3200,GLENORA,1445,121,3,0
WARD 12,6330,JACKSON HEIGHTS,1233,44,1,0
WARD 8,5330,QUEEN ALEXANDRA,2890,364,72,0
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0
WARD 5,4390,PATRICIA HEIGHTS,667,64,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0
WARD 1,4470,RURAL WEST BIG LAKE,57,2,0,0
WARD 7,2090,BERGMAN,564,19,0,0
WARD 9,5230,HENDERSON ESTATES,614,8,0,0
WARD 7,2550,MONTROSE,1466,115,32,0
WARD 7,2660,RUNDLE HEIGHTS,1386,72,10,0
WARD 10,5070,BLUE QUILL ESTATES,491,72,0,0
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0
WARD 11,6410,MAPLE RIDGE,786,77,3,0
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,27,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0
WARD 7,2020,BALWIN,1544,207,24,0
WARD 8,6310,HOLYROOD,1532,86,14,0
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0
WARD 1,4740,WEBBER GREENS,684,33,0,0
WARD 11,6340,KAMEYOSEK,1106,66,0,0
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0
WARD 1,4400,PLACE LARUE,0,0,0,0
WARD 4,2710,SIFTON PARK,804,117,23,0
WARD 12,6662,WALKER,2553,415,0,0
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0
WARD 3,3370,RAPPERSWILL,732,9,1,0
WARD 6,1140,MCCAULEY,2345,826,359,0
WARD 2,1230,SPRUCE AVENUE,757,417,23,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0
WARD 2,3090,CARLISLE,1361,58,5,0
WARD 5,4463,RIVERVIEW AREA,160,4,0,0
WARD 10,5310,PARKALLEN,1053,66,9,0
WARD 8,5290,MCKERNAN,1108,149,43,0
WARD 9,5511,TWIN BROOKS,2238,34,2,0
WARD 1,4500,SHERWOOD,637,21,2,0
WARD 11,6450,MENISA,925,3,0,0
WARD 7,2230,DELWOOD,1336,59,4,0
WARD 11,6520,MILL WOODS TOWN CENTRE,595,88,0,0
WARD 3,3120,CHAMBERY,727,23,0,0
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0
WARD 5,4220,JAMIESON PLACE,1319,60,1,0
WARD 10,5360,RIDEAU PARK,1086,63,4,0
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0
WARD 9,5350,RHATIGAN RIDGE,1117,27,1,0
WARD 12,6661,CHARLESWORTH,1868,86,2,0
WARD 4,2270,EVERGREEN,686,12,0,0
WARD 1,4473,HAWKS RIDGE,171,1,0,0
WARD 1,4290,MAYFIELD,865,39,1,0
WARD 5,4551,GRANVILLE,603,147,0,0
WARD 12,6442,SILVER BERRY,2513,55,1,0
WARD 4,2110,BRINTNELL,2096,51,1,0
WARD 12,6211,ELLERSLIE,1983,151,1,0
WARD 6,3300,MCQUEEN,791,38,33,0
WARD 9,5477,MACTAGGART,718,639,1,0
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0
WARD 11,6200,EKOTA,913,33,2,0
WARD 7,2060,BELLEVUE,481,38,11,0
WARD 9,5457,CALLAGHAN,1340,272,0,0
WARD 9,5452,MACEWAN,2234,163,34,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0
WARD 1,4060,BRITANNIA YOUNGSTOWN,2217,148,44,0
WARD 3,3190,ELSINORE,790,32,0,0
WARD 4,2430,KIRKNESS,1481,47,4,0
WARD 8,6040,BONNIE DOON,2132,324,111,0
WARD 12,6370,KINISKI GARDENS,2190,35,5,0
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0
WARD 2,3480,HUDSON,800,58,0,0
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0
WARD 8,5480,STRATHCONA,5305,720,54,0
WARD 9,5080,BRANDER GARDENS,1051,48,2,0
WARD 2,3340,PEMBINA,266,122,1,0
WARD 1,4310,MEADOWLARK PARK,1179,25,19,0
WARD 3,2450,LAGO LINDO,1369,26,1,0
WARD 5,4280,LYNNWOOD,1375,71,2,0
WARD 11,6480,MICHAELS PARK,808,42,0,0
WARD 2,3390,ROSSLYN,1301,49,32,0
WARD 2,3150,CUMBERLAND,2049,118,4,0
WARD 2,1170,PRINCE RUPERT,647,75,14,0
WARD 9,5463,DESROCHERS AREA,0,0,0,0
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0
WARD 2,3060,CAERNARVON,1616,68,9,0
WARD 3,2600,OZERNA,1355,40,0,0
WARD 1,4540,TERRA LOSA,1302,149,1,0
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0
