Neighbourhood Name,Neighbourhood Number,Civic Ward Name
Abbottsfield,2010,
Albany,3460,
Alberta Avenue,1010,
Alberta Park Industrial,4010,
Aldergrove,4020,
Allard,5458,
Allendale,5010,
Ambleside,5505,
Anthony Henday,4011,
Anthony Henday Big Lake,4018,
Anthony Henday Castledowns,4016,
Anthony Henday Clareview,4022,
Anthony Henday Energy Park,4019,
Anthony Henday Horse Hill,4021,
Anthony Henday Lake District,4017,
Anthony Henday Mistatim,4015,
Anthony Henday Rampart,4023,
Anthony Henday South,4014,
Anthony Henday South West,4012,
Anthony Henday Southeast,6665,
Anthony Henday Terwillegar,4013,
Argyll,6010,
Armstrong Industrial,4030,
Aspen Gardens,5020,
Athlone,3010,
Avonmore,6020,
Balwin,2020,
Bannerman,2030,
Baranow,3020,
Baturyn,3030,
Beacon Heights,2040,
Bearspaw,5030,
Beaumaris,3040,
Belgravia,5040,
Belle Rive,2050,
Bellevue,2060,
Belmead,4040,
Belmont,2070,
Belvedere,2080,
Bergman,2090,
Beverly Heights,2100,
Bisset,6030,
Blackburne,5590,
Blackmud Creek,5453,
Blackmud Creek Ravine,5050,
Blue Quill,5060,
Blue Quill Estates,5070,
Bonaventure Industrial,4050,
Bonnie Doon,6040,
Boyle Street,1020,
Brander Gardens,5080,
Breckenridge Greens,4700,
Brintnell,2110,
Britannia Youngstown,4060,
Brookside,5090,
Brown Industrial,3050,
Bulyea Heights,5100,
Caernarvon,3060,
Calder,3070,
Calgary Trail North,5110,
Calgary Trail South,5120,
Callaghan,5457,
Callingwood North,4070,
Callingwood South,4080,
Cameron Heights,4466,
Canon Ridge,2120,
Canora,4090,
Canossa,3080,
Capilano,6061,
Carleton Square Industrial,4100,
Carlisle,3090,
Carlton,3470,
Carter Crest,5130,
Cashman,5466,
Casselman,2130,
Central McDougall,1030,
Chambery,3120,
Chappelle Area,5462,
Charlesworth,6661,
Clareview Town Centre,2145,
Clover Bar Area,2160,
Cloverdale,6070,
Coronet Addition Industrial,6090,
Coronet Industrial,6100,
CPR Irvine,6110,
Crawford Plains,6140,
Crestwood,3140,
Cromdale,1070,
Crystallina Nera,2210,
Crystallina Nera East,2462,
Cumberland,3150,
Cy Becker,2611,
Daly Grove,6150,
Davies Industrial East,6160,
Davies Industrial West,6170,
Dechene,4110,
Delton,1080,
Delwood,2230,
Desrochers Area,5463,
Dominion Industrial,3160,
Donsdale,4120,
Dovercourt,3170,
Downtown,1090,
Duggan,5160,
Dunluce,3180,
Eastgate Business Park,6180,
Eastwood,1100,
Eaux Claires,2241,
Ebbers,2251,
Edgemont,4462,
Edmiston Industrial,4130,
Edmonton Municipal Airport,1110,
Edmonton Northlands,1120,
Edmonton Research and Development Park,6190,
Ekota,6200,
Ellerslie,6211,
Ellerslie Industrial,6214,
Elmwood,4140,
Elmwood Park,1130,
Elsinore,3190,
Empire Park,5170,
Ermineskin,5180,
Evansdale,2260,
Evergreen,2270,
Falconer Heights,5190,
Forest Heights,6230,
Fraser,2280,
Fulton Place,6240,
Gagnon Estate Industrial,4150,
Gainer Industrial,6250,
Gariepy,4160,
Garneau,5200,
Garside Industrial,4170,
Girard Industrial,6260,
Glastonbury,4720,
Glengarry,2290,
Glenora,3200,
Glenridding Area,5577,
Glenwood,4180,
Gold Bar,6270,
Goodridge Corners,3490,
Gorman,2311,
Grandview Heights,5210,
Granville,4551,
Greenfield,5220,
Greenview,6280,
Griesbach,3111,
Grovenor,3210,
Haddow,5610,
Hagmann Estate Industrial,3220,
Hairsine,2320,
Hawin Park Estate Industrial,4190,
Hawks Ridge,4473,
Hays Ridge Area,5465,
Hazeldean,6290,
Henderson Estates,5230,
Heritage Valley Area,5456,
Heritage Valley Area East,5461,
Heritage Valley Town Centre Area,5464,
High Park,4200,
High Park Industrial,4210,
Highlands,2330,
Hillview,6300,
Hodgson,5620,
Hollick-Kenyon,2340,
Holyrood,6310,
Homesteader,2350,
Hudson,3480,
Huff Bremner Estate Industrial,3230,
Idylwylde,6320,
Industrial Heights,2360,
Inglewood,3240,
Jackson Heights,6330,
Jamieson Place,4220,
Jasper Park,4230,
Kameyosek,6340,
Keheewin,5250,
Kenilworth,6350,
Kennedale Industrial,2380,
Kensington,3250,
Kernohan,2390,
Keswick Area,5576,
Kildare,2400,
Kilkenny,2410,
Killarney,2420,
King Edward Park,6360,
Kiniski Gardens,6370,
Kinokamau Plains Area,4475,
Kirkness,2430,
Klarvatten,2440,
La Perle,4240,
Lago Lindo,2450,
Lambton Industrial,6380,
Lansdowne,5260,
Larkspur,6390,
Lauderdale,3260,
Laurel,6444,
Laurier Heights,3270,
Lee Ridge,6400,
Leger,5630,
Lendrum Place,5270,
Lewis Farms Industrial,4485,
Lorelei,3280,
Lymburn,4270,
Lynnwood,4280,
MacEwan,5452,
Mactaggart,5477,
Magrath Heights,5476,
Malmo Plains,5280,
Maple,6441,
Maple Ridge,6410,
Maple Ridge Industrial,6420,
Matt Berry,2500,
Mayfield,4290,
Mayliewan,2511,
McArthur Industrial,3290,
McCauley,1140,
McConachie Area,2521,
McIntyre Industrial,6430,
McKernan,5290,
McLeod,2530,
McNamara Industrial,4300,
McQueen,3300,
Meadowlark Park,4310,
Meadows Area,6440,
Menisa,6450,
Meyokumin,6460,
Meyonohk,6470,
Michaels Park,6480,
Mill Creek Ravine North,6491,
Mill Creek Ravine South,6492,
Mill Woods Golf Course,6500,
Mill Woods Park,6510,
Mill Woods Town Centre,6520,
Miller,2541,
Minchau,6530,
Mistatim Industrial,4320,
Mitchell Industrial,4330,
Montrose,2550,
Morin Industrial,4340,
Morris Industrial,6540,
Newton,2560,
North Glenora,3310,
Northmount,2580,
Norwester Industrial,4350,
Ogilvie Ridge,5300,
Oleskiw,4360,
Oliver,1150,
Ormsby Place,4380,
Ottewell,6550,
Overlanders,2590,
Oxford,3320,
Ozerna,2600,
Papaschase Industrial,6560,
Parkallen,5310,
Parkdale,1160,
Parkview,3330,
Parsons Industrial,6570,
Patricia Heights,4390,
Pembina,3340,
Place LaRue,4400,
Pleasantview,5320,
Pollard Meadows,6580,
Potter Greens,4710,
Poundmaker Industrial,4410,
Prince Charles,3350,
Prince Rupert,1170,
Pylypow Industrial,6590,
Queen Alexandra,5330,
Queen Mary Park,1180,
Quesnell Heights,4420,
Rampart Industrial,3360,
Ramsay Heights,5340,
Rapperswill,3370,
Rhatigan Ridge,5350,
Richfield,6600,
Richford,5451,
Rideau Park,5360,
Rio Terrace,4430,
Ritchie,6610,
River Valley Cameron,4467,
River Valley Capitol Hill,3380,
River Valley Fort Edmonton,5401,
River Valley Glenora,3381,
River Valley Gold Bar,6620,
River Valley Hermitage,2630,
River Valley Highlands,2640,
River Valley Kinnaird,1190,
River Valley Laurier,3382,
River Valley Lessard North,4440,
River Valley Mayfair,5370,
River Valley Oleskiw,4451,
River Valley Riverside,6630,
River Valley Rundle,2650,
River Valley Terwillegar,5380,
River Valley Victoria,1200,
River Valley Walterdale,5390,
River Valley Whitemud,5400,
River Valley Windermere,5405,
Riverdale,1210,
Roper Industrial,6640,
Rosedale Industrial,6650,
Rosenthal,4750,
Rossdale,1220,
Rosslyn,3390,
Royal Gardens,5430,
Rundle Heights,2660,
Rural North East Horse Hill,2670,
Rural North East North Sturgeon,2680,
Rural North East South Sturgeon,2690,
Rural South East,6660,
Rural West,4460,
Rural West Big Lake,4470,
Rutherford,5454,
Sakaw,6670,
Satoo,6680,
Schonsee,2700,
Secord,4487,
Sheffield Industrial,4490,
Sherbrooke,3410,
Sherwood,4500,
Sifton Park,2710,
Silver Berry,6442,
Skyrattler,5460,
South Edmonton Common,6195,
South Terwillegar,5642,
Southeast Industrial,6690,
Spruce Avenue,1230,
Starling,4474,
Steinhauer,5470,
Stewart Greens,4486,
Stone Industrial,4510,
Strathcona,5480,
Strathcona Industrial Park,6700,
Strathcona Junction,5151,
Strathearn,6710,
Suder Greens,4730,
Summerlea,4520,
Summerside,6213,
Sunwapta Industrial,4530,
Sweet Grass,5490,
Tamarack,6443,
Tawa,6720,
Terra Losa,4540,
Terrace Heights,6730,
Terwillegar Towne,5640,
The Hamptons,4461,
The Orchards At Ellerslie,6216,
Thorncliff,4560,
Tipaskan,6750,
Trumpeter Area,4471,
Tweddle Place,6760,
Twin Brooks,5511,
University of Alberta,5520,
University of Alberta Farm,5530,
Virginia Park,1240,
Walker,6662,
Webber Greens,4740,
Wedgewood Heights,4570,
Weinlos,6770,
Weir Industrial,6780,
Wellington,3430,
West Jasper Place,4580,
West Meadowlark Park,4590,
West Sheffield Industrial,4600,
Westbrook Estates,5540,
Westmount,3440,
Westridge,4610,
Westview Village,4620,
Westwood,1250,
White Industrial,4630,
Whitemud Creek Ravine North,5550,
Whitemud Creek Ravine South,5560,
Whitemud Creek Ravine Twin Brooks,5565,
Wild Rose,6790,
Wilson Industrial,4640,
Windermere,5570,
Windermere Area,5575,
Windsor Park,5580,
Winterburn Industrial Area East,4650,
Winterburn Industrial Area West,4670,
Woodcroft,3450,
Yellowhead Corridor East,1270,
Yellowhead Corridor West,1280,
York,2720,
Youngstown Industrial,4660,
