Ward,Neighbourhood Number,Neighbourhood Name,Public,Catholic,Francophone,No Response
Ward 1,3140,CRESTWOOD,1346,576,0,365
Ward 1,3330,PARKVIEW,2186,927,0,200
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
Ward 1,4020,ALDERGROVE,3465,1023,0,862
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,121
Ward 1,4040,BELMEAD,2592,1045,0,972
Ward 1,4060,BRITANNIA YOUNGSTOWN,2046,643,0,2016
Ward 1,4090,CANORA,1632,573,0,1143
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
Ward 1,4180,GLENWOOD,2663,1093,0,1526
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
Ward 1,4200,HIGH PARK,733,196,0,453
Ward 1,4230,JASPER PARK,1041,342,0,484
Ward 1,4240,LA PERLE,3095,1205,0,896
Ward 1,4290,MAYFIELD,1061,355,0,546
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,1596,458,0,612
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,105,26,0,21
Ward 1,4471,TRUMPETER AREA,228,132,0,144
Ward 1,4473,HAWKS RIDGE,35,17,0,5
Ward 1,4474,STARLING,83,55,0,41
Ward 1,4475,KINOKAMAU PLAINS AREA,72,26,0,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,40,7,0,27
Ward 1,4486,STEWART GREENS,0,0,0,0
Ward 1,4487,SECORD,1252,594,0,291
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4500,SHERWOOD,780,280,0,320
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0
Ward 1,4520,SUMMERLEA,1158,274,0,598
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
Ward 1,4540,TERRA LOSA,1195,519,0,501
Ward 1,4580,WEST JASPER PLACE,1526,674,0,831
Ward 1,4590,WEST MEADOWLARK PARK,1857,865,0,958
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1132,267,0,580
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,10,0,0,126
Ward 1,4700,BRECKENRIDGE GREENS,1238,458,0,204
Ward 1,4710,POTTER GREENS,1020,423,0,86
Ward 1,4730,SUDER GREENS,2025,763,0,477
Ward 1,4740,WEBBER GREENS,984,445,0,315
Ward 1,4750,ROSENTHAL,65,28,0,13
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0
Ward 2,1170,PRINCE RUPERT,579,197,0,578
Ward 2,1230,SPRUCE AVENUE,782,276,0,816
Ward 2,1250,WESTWOOD,1767,407,0,1250
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0
Ward 2,3010,ATHLONE,1562,846,0,735
Ward 2,3020,BARANOW,633,166,0,569
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0
Ward 2,3060,CAERNARVON,2087,1038,0,1128
Ward 2,3070,CALDER,2150,878,0,1196
Ward 2,3090,CARLISLE,2117,1147,0,648
Ward 2,3111,GRIESBACH,1368,409,0,1975
Ward 2,3150,CUMBERLAND,3683,1812,0,944
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0
Ward 2,3170,DOVERCOURT,1387,494,0,237
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0
Ward 2,3240,INGLEWOOD,2905,1200,0,2666
Ward 2,3250,KENSINGTON,2209,906,0,545
Ward 2,3260,LAUDERDALE,1232,503,0,1122
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0
Ward 2,3320,OXFORD,1583,892,0,978
Ward 2,3340,PEMBINA,218,103,0,221
Ward 2,3350,PRINCE CHARLES,894,350,0,350
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0
Ward 2,3390,ROSSLYN,1814,506,0,656
Ward 2,3410,SHERBROOKE,1369,700,0,420
Ward 2,3430,WELLINGTON,1636,905,0,618
Ward 2,3450,WOODCROFT,1401,660,0,631
Ward 2,3460,ALBANY,146,52,0,427
Ward 2,3470,CARLTON,2195,981,0,672
Ward 2,3480,HUDSON,894,526,0,574
Ward 2,3490,GOODRIDGE CORNERS,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0
Ward 3,2050,BELLE RIVE,2115,1282,0,441
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0
Ward 3,2241,EAUX CLAIRES,1409,853,0,886
Ward 3,2260,EVANSDALE,3454,1525,0,879
Ward 3,2410,KILKENNY,3490,1452,0,783
Ward 3,2440,KLARVATTEN,2867,1859,0,783
Ward 3,2450,LAGO LINDO,2329,1292,0,418
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0,0
Ward 3,2511,MAYLIEWAN,2407,1367,0,432
Ward 3,2600,OZERNA,2511,1492,0,496
Ward 3,2700,SCHONSEE,1309,768,0,386
Ward 3,3030,BATURYN,2816,1579,0,517
Ward 3,3040,BEAUMARIS,2395,1359,0,771
Ward 3,3080,CANOSSA,1507,996,0,653
Ward 3,3120,CHAMBERY,1055,709,0,515
Ward 3,3180,DUNLUCE,3521,1523,0,1420
Ward 3,3190,ELSINORE,1079,921,0,254
Ward 3,3280,LORELEI,2253,975,0,922
Ward 3,3370,RAPPERSWILL,550,266,0,179
Ward 3,3490,GOODRIDGE CORNERS,0,0,0,1317
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0
Ward 4,2030,BANNERMAN,1906,728,0,427
Ward 4,2070,BELMONT,2863,1630,0,827
Ward 4,2080,BELVEDERE,3456,1092,0,898
Ward 4,2110,BRINTNELL,2983,1371,0,1393
Ward 4,2120,CANON RIDGE,1262,509,0,451
Ward 4,2130,CASSELMAN,2189,1077,0,418
Ward 4,2145,CLAREVIEW TOWN CENTRE,1873,783,0,671
Ward 4,2160,CLOVER BAR AREA,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0
Ward 4,2270,EVERGREEN,914,82,0,505
Ward 4,2280,FRASER,2147,648,0,541
Ward 4,2311,GORMAN,0,0,0,0
Ward 4,2320,HAIRSINE,1420,755,0,344
Ward 4,2340,HOLLICK-KENYON,3179,1414,0,992
Ward 4,2350,HOMESTEADER,1995,1054,0,520
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0
Ward 4,2390,KERNOHAN,1664,1025,0,364
Ward 4,2430,KIRKNESS,2584,940,0,423
Ward 4,2500,MATT BERRY,2405,1311,0,493
Ward 4,2521,MCCONACHIE AREA,1439,835,0,469
Ward 4,2530,MCLEOD,1410,732,0,138
Ward 4,2541,MILLER,1804,825,0,588
Ward 4,2590,OVERLANDERS,1830,590,0,526
Ward 4,2611,CY BECKER,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,187,38,0,36
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,141,23,0,313
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,357,274,0,54
Ward 4,2710,SIFTON PARK,1370,413,0,516
Ward 4,2720,YORK,2399,1144,0,529
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1819,562,0,351
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1471,457,0,520
Ward 5,4080,CALLINGWOOD SOUTH,2894,1240,0,1761
Ward 5,4110,DECHENE,853,527,0,309
Ward 5,4120,DONSDALE,725,332,0,303
Ward 5,4140,ELMWOOD,1712,634,0,338
Ward 5,4160,GARIEPY,1208,309,0,387
Ward 5,4220,JAMIESON PLACE,2443,955,0,553
Ward 5,4270,LYMBURN,3649,1528,0,831
Ward 5,4280,LYNNWOOD,1924,730,0,850
Ward 5,4360,OLESKIW,1951,756,0,299
Ward 5,4380,ORMSBY PLACE,3270,1425,0,755
Ward 5,4390,PATRICIA HEIGHTS,986,280,0,550
Ward 5,4420,QUESNELL HEIGHTS,264,93,0,26
Ward 5,4430,RIO TERRACE,927,279,0,98
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0
Ward 5,4460,RURAL WEST,284,175,0,37
Ward 5,4461,THE HAMPTONS,6295,3010,0,1494
Ward 5,4462,EDGEMONT,40,48,0,27
Ward 5,4466,CAMERON HEIGHTS,856,472,0,134
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0
Ward 5,4551,GRANVILLE,438,376,0,171
Ward 5,4560,THORNCLIFF,2100,910,0,686
Ward 5,4570,WEDGEWOOD HEIGHTS,926,446,0,250
Ward 5,4610,WESTRIDGE,990,281,0,67
Ward 5,4720,GLASTONBURY,3747,1656,0,832
Ward 6,1020,BOYLE STREET,2332,894,0,3687
Ward 6,1030,CENTRAL MCDOUGALL,2750,959,0,1956
Ward 6,1090,DOWNTOWN,5998,1336,0,5814
Ward 6,1140,MCCAULEY,2037,920,0,2210
Ward 6,1150,OLIVER,9710,2888,0,6537
Ward 6,1180,QUEEN MARY PARK,3087,1115,0,3023
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0
Ward 6,1210,RIVERDALE,1440,339,0,283
Ward 6,1220,ROSSDALE,591,111,0,143
Ward 6,3200,GLENORA,2166,706,0,700
Ward 6,3210,GROVENOR,1347,399,0,636
Ward 6,3300,MCQUEEN,1021,240,0,555
Ward 6,3310,NORTH GLENORA,1399,343,0,353
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0
Ward 6,3440,WESTMOUNT,3061,723,0,2327
Ward 7,1010,ALBERTA AVENUE,3936,1418,0,1211
Ward 7,1070,CROMDALE,1399,394,0,424
Ward 7,1080,DELTON,887,328,0,707
Ward 7,1100,EASTWOOD,1780,823,0,1701
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0
Ward 7,1130,ELMWOOD PARK,658,233,0,430
Ward 7,1160,PARKDALE,1991,912,0,731
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0
Ward 7,1240,VIRGINIA PARK,505,91,0,170
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0
Ward 7,2010,ABBOTTSFIELD,992,316,0,581
Ward 7,2020,BALWIN,1718,746,0,1522
Ward 7,2040,BEACON HEIGHTS,1912,855,0,320
Ward 7,2060,BELLEVUE,580,141,0,290
Ward 7,2090,BERGMAN,994,404,0,167
Ward 7,2100,BEVERLY HEIGHTS,2204,653,0,540
Ward 7,2230,DELWOOD,1905,1057,0,464
Ward 7,2290,GLENGARRY,1770,771,0,353
Ward 7,2330,HIGHLANDS,1899,441,0,326
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0
Ward 7,2400,KILDARE,1764,726,0,477
Ward 7,2420,KILLARNEY,2483,949,0,795
Ward 7,2550,MONTROSE,1587,662,0,939
Ward 7,2560,NEWTON,1572,935,0,397
Ward 7,2580,NORTHMOUNT,1470,952,0,924
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,2240,706,0,620
Ward 8,5040,BELGRAVIA,1727,243,0,380
Ward 8,5151,STRATHCONA JUNCTION,0,0,0,0
Ward 8,5200,GARNEAU,4014,586,0,5342
Ward 8,5290,MCKERNAN,1527,204,0,1054
Ward 8,5330,QUEEN ALEXANDRA,2699,568,0,1771
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0
Ward 8,5480,STRATHCONA,4723,905,0,3990
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0
Ward 8,5580,WINDSOR PARK,1042,132,0,1871
Ward 8,6040,BONNIE DOON,2882,1059,0,750
Ward 8,6061,CAPILANO,1441,490,0,684
Ward 8,6070,CLOVERDALE,560,186,0,126
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,2200,674,0,1226
Ward 8,6240,FULTON PLACE,1235,345,0,581
Ward 8,6270,GOLD BAR,1470,367,0,875
Ward 8,6310,HOLYROOD,2177,533,0,766
Ward 8,6320,IDYLWYLDE,908,269,0,621
Ward 8,6350,KENILWORTH,1556,512,0,424
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,217
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0
Ward 8,6550,OTTEWELL,3587,1279,0,1119
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0
Ward 8,6710,STRATHEARN,1831,376,0,448
Ward 8,6730,TERRACE HEIGHTS,1437,365,0,470
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0
Ward 9,5080,BRANDER GARDENS,1555,441,0,502
Ward 9,5090,BROOKSIDE,1342,302,0,376
Ward 9,5100,BULYEA HEIGHTS,2534,543,0,459
Ward 9,5130,CARTER CREST,1005,411,0,263
Ward 9,5190,FALCONER HEIGHTS,1341,376,0,364
Ward 9,5230,HENDERSON ESTATES,1234,446,0,176
Ward 9,5300,OGILVIE RIDGE,680,207,0,88
Ward 9,5340,RAMSAY HEIGHTS,1992,665,0,766
Ward 9,5350,RHATIGAN RIDGE,2078,648,0,530
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0
Ward 9,5451,RICHFORD,427,86,0,83
Ward 9,5452,MACEWAN,3084,1107,0,1643
Ward 9,5453,BLACKMUD CREEK,1681,508,0,515
Ward 9,5454,RUTHERFORD,6469,1930,0,2038
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0
Ward 9,5457,CALLAGHAN,1369,443,0,435
Ward 9,5458,ALLARD,709,207,0,554
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0
Ward 9,5462,CHAPPELLE AREA,1090,354,0,163
Ward 9,5463,DESROCHERS AREA,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0,0
Ward 9,5466,CASHMAN,0,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,2039,704,0,416
Ward 9,5477,MACTAGGART,1432,634,0,298
Ward 9,5505,AMBLESIDE,1981,728,0,783
Ward 9,5511,TWIN BROOKS,4846,1090,0,494
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0
Ward 9,5570,WINDERMERE,3064,1146,0,1129
Ward 9,5575,WINDERMERE AREA,0,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0,0
Ward 9,5577,GLENRIDDING AREA,192,41,0,102
Ward 9,5590,BLACKBURNE,874,415,0,161
Ward 9,5610,HADDOW,2842,1083,0,451
Ward 9,5620,HODGSON,1712,454,0,611
Ward 9,5630,LEGER,1538,657,0,334
Ward 9,5640,TERWILLEGAR TOWNE,4037,1402,0,1152
Ward 9,5642,SOUTH TERWILLEGAR,5505,1691,0,1784
Ward 10,5010,ALLENDALE,1284,336,0,1244
Ward 10,5020,ASPEN GARDENS,1082,303,0,238
Ward 10,5030,BEARSPAW,1278,319,0,501
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0
Ward 10,5060,BLUE QUILL,2529,834,0,1219
Ward 10,5070,BLUE QUILL ESTATES,902,238,0,225
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0
Ward 10,5160,DUGGAN,2983,968,0,750
Ward 10,5170,EMPIRE PARK,2379,546,0,1896
Ward 10,5180,ERMINESKIN,2437,776,0,2210
Ward 10,5210,GRANDVIEW HEIGHTS,703,109,0,332
Ward 10,5220,GREENFIELD,2494,623,0,499
Ward 10,5250,KEHEEWIN,1692,510,0,649
Ward 10,5260,LANSDOWNE,670,140,0,407
Ward 10,5270,LENDRUM PLACE,1057,200,0,626
Ward 10,5280,MALMO PLAINS,1939,268,0,1006
Ward 10,5310,PARKALLEN,1289,195,0,819
Ward 10,5320,PLEASANTVIEW,2415,700,0,1114
Ward 10,5360,RIDEAU PARK,1275,302,0,498
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1964,626,0,946
Ward 10,5460,SKYRATTLER,1114,317,0,685
Ward 10,5470,STEINHAUER,1445,331,0,337
Ward 10,5490,SWEET GRASS,1801,497,0,487
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,874,166,0,167
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0
Ward 11,6010,ARGYLL,580,137,0,97
Ward 11,6020,AVONMORE,1477,423,0,305
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0
Ward 11,6200,EKOTA,1802,747,0,192
Ward 11,6250,GAINER INDUSTRIAL,203,78,0,16
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0
Ward 11,6280,GREENVIEW,1887,561,0,580
Ward 11,6290,HAZELDEAN,1993,494,0,771
Ward 11,6300,HILLVIEW,2472,685,0,417
Ward 11,6340,KAMEYOSEK,1700,465,0,791
Ward 11,6360,KING EDWARD PARK,2487,639,0,1371
Ward 11,6400,LEE RIDGE,2091,585,0,143
Ward 11,6410,MAPLE RIDGE,1363,339,0,103
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,52,2,0,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0
Ward 11,6450,MENISA,1764,496,0,278
Ward 11,6460,MEYOKUMIN,1880,595,0,618
Ward 11,6470,MEYONOHK,2012,542,0,427
Ward 11,6480,MICHAELS PARK,1523,535,0,141
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,748,198,0,363
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0
Ward 11,6600,RICHFIELD,2627,687,0,309
Ward 11,6610,RITCHIE,2609,642,0,992
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0
Ward 11,6670,SAKAW,2745,870,0,440
Ward 11,6680,SATOO,2035,813,0,666
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0
Ward 11,6720,TAWA,1108,482,0,325
Ward 11,6750,TIPASKAN,1879,741,0,517
Ward 11,6760,TWEDDLE PLACE,2278,742,0,298
Ward 11,6780,WEIR INDUSTRIAL,55,13,0,2
Ward 12,6030,BISSET,2434,573,0,810
Ward 12,6140,CRAWFORD PLAINS,3180,869,0,456
Ward 12,6150,DALY GROVE,2519,738,0,379
Ward 12,6211,ELLERSLIE,3519,1444,0,983
Ward 12,6213,SUMMERSIDE,6327,1805,0,3182
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,526,146,0,110
Ward 12,6330,JACKSON HEIGHTS,2831,818,0,454
Ward 12,6370,KINISKI GARDENS,4380,1639,0,733
Ward 12,6390,LARKSPUR,3367,909,0,846
Ward 12,6440,MEADOWS AREA,0,0,0,0
Ward 12,6441,MAPLE,175,68,0,66
Ward 12,6442,SILVER BERRY,5410,1753,0,1449
Ward 12,6443,TAMARACK,2456,552,0,530
Ward 12,6444,LAUREL,2580,930,0,588
Ward 12,6530,MINCHAU,2271,652,0,401
Ward 12,6580,POLLARD MEADOWS,2851,694,0,1156
Ward 12,6660,RURAL SOUTH EAST,121,20,0,100
Ward 12,6661,CHARLESWORTH,2520,904,0,745
Ward 12,6662,WALKER,3142,660,0,622
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0
Ward 12,6770,WEINLOS,2490,483,0,515
Ward 12,6790,WILD ROSE,5143,1644,0,1606
