WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,CANADIAN_CITIZEN,NON-CANADIAN_CITIZEN,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4020,ALDERGROVE,4756,570,189
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,125
Ward 1,4040,BELMEAD,3942,480,181
Ward 1,4700,BRECKENRIDGE GREENS,1787,79,45
Ward 1,4060,BRITANNIA YOUNGSTOWN,3597,549,613
Ward 1,4090,CANORA,2650,301,384
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,3140,CRESTWOOD,2007,79,237
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,3805,630,660
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0
Ward 1,4200,HIGH PARK,1176,46,167
Ward 1,4230,JASPER PARK,1329,110,401
Ward 1,4475,KINOKAMAU PLAINS AREA,87,0,19
Ward 1,4240,LA PERLE,4038,369,715
Ward 1,4485,LEWIS FARMS INDUSTRIAL,64,0,11
Ward 1,4290,MAYFIELD,1738,93,137
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,2168,116,324
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,3330,PARKVIEW,2985,117,232
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4710,POTTER GREENS,1459,44,17
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,129,1,22
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0
Ward 1,4487,SECORD,718,59,137
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,858,80,316
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4730,SUDER GREENS,2433,218,160
Ward 1,4520,SUMMERLEA,1620,180,258
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,1714,158,316
Ward 1,4471,TRUMPETER AREA,112,0,48
Ward 1,4740,WEBBER GREENS,472,72,5
Ward 1,4580,WEST JASPER PLACE,1969,433,564
Ward 1,4590,WEST MEADOWLARK PARK,2283,357,696
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,2085,27,130
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,15,1,147
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 2,3460,ALBANY,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,3010,ATHLONE,2767,138,211
Ward 2,3020,BARANOW,787,96,254
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,3714,218,284
Ward 2,3070,CALDER,3494,220,345
Ward 2,3090,CARLISLE,3297,255,296
Ward 2,3470,CARLTON,2497,166,74
Ward 2,3150,CUMBERLAND,5663,314,442
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
Ward 2,3170,DOVERCOURT,1788,98,162
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,3111,GRIESBACH,2644,145,432
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,3480,HUDSON,1755,112,153
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,5238,682,390
Ward 2,3250,KENSINGTON,3074,198,323
Ward 2,3260,LAUDERDALE,2332,162,239
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,3025,142,232
Ward 2,3340,PEMBINA,363,54,89
Ward 2,3350,PRINCE CHARLES,955,52,316
Ward 2,1170,PRINCE RUPERT,1093,125,121
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,2489,153,260
Ward 2,3400,RURAL NORTH WEST,0,0,0
Ward 2,3410,SHERBROOKE,1904,200,334
Ward 2,1230,SPRUCE AVENUE,1458,139,523
Ward 2,3430,WELLINGTON,2651,218,271
Ward 2,1250,WESTWOOD,2503,423,389
Ward 2,3450,WOODCROFT,2292,179,127
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,80
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 3,3030,BATURYN,4436,174,309
Ward 3,3040,BEAUMARIS,3952,202,230
Ward 3,2050,BELLE RIVE,3683,162,100
Ward 3,3080,CANOSSA,2953,152,109
Ward 3,3120,CHAMBERY,1892,90,82
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,3180,DUNLUCE,5445,295,617
Ward 3,2241,EAUX CLAIRES,2670,147,418
Ward 3,3190,ELSINORE,1994,54,101
Ward 3,2260,EVANSDALE,4725,598,337
Ward 3,2410,KILKENNY,5067,433,215
Ward 3,2440,KLARVATTEN,4258,233,298
Ward 3,2450,LAGO LINDO,3767,124,103
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0
Ward 3,3280,LORELEI,3555,227,245
Ward 3,2511,MAYLIEWAN,3829,141,236
Ward 3,2600,OZERNA,4065,200,230
Ward 3,3370,RAPPERSWILL,0,0,0
Ward 3,2700,SCHONSEE,1543,105,64
Ward 4,2030,BANNERMAN,2727,187,140
Ward 4,2070,BELMONT,4342,440,432
Ward 4,2080,BELVEDERE,4018,473,594
Ward 4,2110,BRINTNELL,4486,319,372
Ward 4,2120,CANON RIDGE,1722,144,159
Ward 4,2130,CASSELMAN,2825,192,388
Ward 4,2145,CLAREVIEW TOWN CENTRE,2562,535,133
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,1163,18,269
Ward 4,2280,FRASER,3000,145,160
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,2141,148,181
Ward 4,2340,HOLLICK-KENYON,4741,238,232
Ward 4,2350,HOMESTEADER,2795,182,306
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,2744,126,211
Ward 4,2430,KIRKNESS,3179,247,314
Ward 4,2500,MATT BERRY,3595,194,291
Ward 4,2521,MCCONACHIE AREA,727,57,113
Ward 4,2530,MCLEOD,2188,81,45
Ward 4,2541,MILLER,2590,208,324
Ward 4,2590,OVERLANDERS,2459,109,295
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,181,4,385
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,148,2,325
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,543,3,59
Ward 4,2710,SIFTON PARK,1578,347,364
Ward 4,2720,YORK,3328,289,219
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1808,259,308
Ward 5,4080,CALLINGWOOD SOUTH,4138,828,622
Ward 5,4466,CAMERON HEIGHTS,923,41,161
Ward 5,4110,DECHENE,1324,46,351
Ward 5,4120,DONSDALE,1001,37,270
Ward 5,4140,ELMWOOD,1973,227,413
Ward 5,4160,GARIEPY,1663,62,163
Ward 5,4720,GLASTONBURY,5258,311,415
Ward 5,4551,GRANVILLE,191,28,3
Ward 5,4220,JAMIESON PLACE,3459,159,304
Ward 5,3270,LAURIER HEIGHTS,2140,81,419
Ward 5,4270,LYMBURN,5172,388,369
Ward 5,4280,LYNNWOOD,2490,518,294
Ward 5,4360,OLESKIW,2778,112,104
Ward 5,4380,ORMSBY PLACE,4633,377,313
Ward 5,4390,PATRICIA HEIGHTS,1461,102,188
Ward 5,4420,QUESNELL HEIGHTS,259,8,79
Ward 5,4430,RIO TERRACE,1218,32,55
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,514,12,33
Ward 5,4461,THE HAMPTONS,7688,886,831
Ward 5,4560,THORNCLIFF,2636,576,291
Ward 5,4570,WEDGEWOOD HEIGHTS,1314,36,120
Ward 5,4610,WESTRIDGE,1220,20,87
Ward 6,1020,BOYLE STREET,3523,606,2818
Ward 6,1030,CENTRAL MCDOUGALL,2707,860,1145
Ward 6,1090,DOWNTOWN,6980,1984,3235
Ward 6,3200,GLENORA,3045,167,302
Ward 6,3210,GROVENOR,2037,84,241
Ward 6,1140,MCCAULEY,2375,330,1478
Ward 6,3300,MCQUEEN,1225,61,402
Ward 6,3310,NORTH GLENORA,1752,120,140
Ward 6,1150,OLIVER,13118,1792,3670
Ward 6,1180,QUEEN MARY PARK,5469,1272,644
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,1799,75,106
Ward 6,1220,ROSSDALE,654,34,131
Ward 6,3440,WESTMOUNT,4252,255,1393
Ward 7,2010,ABBOTTSFIELD,1552,154,182
Ward 7,1010,ALBERTA AVENUE,4870,370,936
Ward 7,2020,BALWIN,3148,332,383
Ward 7,2040,BEACON HEIGHTS,2606,141,276
Ward 7,2060,BELLEVUE,817,28,94
Ward 7,2090,BERGMAN,1388,46,20
Ward 7,2100,BEVERLY HEIGHTS,2793,91,316
Ward 7,1070,CROMDALE,1592,273,62
Ward 7,1080,DELTON,1664,112,256
Ward 7,2230,DELWOOD,3006,136,250
Ward 7,1100,EASTWOOD,3449,195,421
Ward 7,1120,EDMONTON NORTHLANDS,3,0,85
Ward 7,1130,ELMWOOD PARK,751,139,204
Ward 7,2290,GLENGARRY,2562,185,169
Ward 7,2330,HIGHLANDS,2376,77,178
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,2313,91,359
Ward 7,2420,KILLARNEY,3267,402,345
Ward 7,2550,MONTROSE,2862,148,239
Ward 7,2560,NEWTON,2657,64,189
Ward 7,2580,NORTHMOUNT,2620,211,416
Ward 7,1160,PARKDALE,2777,194,234
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,2812,171,376
Ward 7,1240,VIRGINIA PARK,653,22,118
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 8,5040,BELGRAVIA,1810,117,214
Ward 8,6040,BONNIE DOON,3773,245,532
Ward 8,6061,CAPILANO,2513,35,144
Ward 8,6070,CLOVERDALE,776,39,70
Ward 8,5150,CPR WEST,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,2941,129,925
Ward 8,6240,FULTON PLACE,2125,92,27
Ward 8,5200,GARNEAU,5755,1894,1999
Ward 8,6270,GOLD BAR,2623,160,57
Ward 8,6310,HOLYROOD,2943,113,279
Ward 8,6320,IDYLWYLDE,1608,115,55
Ward 8,6350,KENILWORTH,2231,87,189
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,187
Ward 8,5290,MCKERNAN,2193,271,353
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,5259,186,424
Ward 8,5330,QUEEN ALEXANDRA,3496,588,610
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
Ward 8,5480,STRATHCONA,6760,960,1264
Ward 8,6710,STRATHEARN,2247,129,246
Ward 8,6730,TERRACE HEIGHTS,1849,133,350
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,1051,104,1711
Ward 9,5458,ALLARD,195,33,13
Ward 9,5505,AMBLESIDE,1829,178,321
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,5590,BLACKBURNE,1375,70,75
Ward 9,5453,BLACKMUD CREEK,2300,208,69
Ward 9,5080,BRANDER GARDENS,2128,212,95
Ward 9,5090,BROOKSIDE,1697,78,141
Ward 9,5100,BULYEA HEIGHTS,3393,62,136
Ward 9,5457,CALLAGHAN,957,156,64
Ward 9,5130,CARTER CREST,1413,82,229
Ward 9,5462,CHAPPELLE AREA,130,18,3
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5190,FALCONER HEIGHTS,1766,91,213
Ward 9,5610,HADDOW,3848,303,191
Ward 9,5230,HENDERSON ESTATES,1668,104,121
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5620,HODGSON,2283,220,151
Ward 9,5630,LEGER,2061,328,175
Ward 9,5452,MACEWAN,4794,528,307
Ward 9,5477,MACTAGGART,1432,98,157
Ward 9,5476,MAGRATH HEIGHTS,2429,177,204
Ward 9,5300,OGILVIE RIDGE,840,55,106
Ward 9,5340,RAMSAY HEIGHTS,3024,211,114
Ward 9,5350,RHATIGAN RIDGE,2964,165,123
Ward 9,5451,RICHFORD,464,19,47
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5454,RUTHERFORD,6654,760,993
Ward 9,5641,SOUTH TERWILLEGAR,6061,835,636
Ward 9,5640,TERWILLEGAR TOWNE,5251,402,974
Ward 9,5511,TWIN BROOKS,5687,318,430
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,1827,171,138
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 10,5010,ALLENDALE,2267,171,284
Ward 10,5020,ASPEN GARDENS,1496,57,85
Ward 10,5030,BEARSPAW,1913,55,158
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,3302,842,424
Ward 10,5070,BLUE QUILL ESTATES,967,182,147
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,3501,685,361
Ward 10,5170,EMPIRE PARK,3344,1035,807
Ward 10,5180,ERMINESKIN,3806,845,596
Ward 10,5210,GRANDVIEW HEIGHTS,853,43,194
Ward 10,5220,GREENFIELD,3288,162,190
Ward 10,5250,KEHEEWIN,2497,236,189
Ward 10,5260,LANSDOWNE,1027,93,94
Ward 10,5270,LENDRUM PLACE,1555,135,198
Ward 10,5280,MALMO PLAINS,2100,946,259
Ward 10,5310,PARKALLEN,2016,134,65
Ward 10,5320,PLEASANTVIEW,2843,476,436
Ward 10,5360,RIDEAU PARK,1348,145,390
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 10,5430,ROYAL GARDENS,2671,493,317
Ward 10,5460,SKYRATTLER,1590,137,220
Ward 10,5470,STEINHAUER,1520,109,238
Ward 10,5490,SWEET GRASS,2086,286,264
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,962,186,77
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,779,29,42
Ward 11,6020,AVONMORE,1800,49,238
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6200,EKOTA,2200,176,184
Ward 11,6250,GAINER INDUSTRIAL,200,4,12
Ward 11,6260,GIRARD INDUSTRIAL,0,0,59
Ward 11,6280,GREENVIEW,2612,172,143
Ward 11,6290,HAZELDEAN,2530,126,520
Ward 11,6300,HILLVIEW,2580,353,514
Ward 11,6340,KAMEYOSEK,2147,475,285
Ward 11,6360,KING EDWARD PARK,3319,267,652
Ward 11,6400,LEE RIDGE,2200,508,31
Ward 11,6410,MAPLE RIDGE,1459,31,221
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,58,1,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,2218,122,204
Ward 11,6460,MEYOKUMIN,2265,285,348
Ward 11,6470,MEYONOHK,2478,255,209
Ward 11,6480,MICHAELS PARK,2022,176,3
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,834,197,216
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,2845,434,20
Ward 11,6610,RITCHIE,3504,270,420
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,3612,397,104
Ward 11,6680,SATOO,2779,259,353
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,1493,191,288
Ward 11,6750,TIPASKAN,2077,524,301
Ward 11,6760,TWEDDLE PLACE,2481,639,8
Ward 11,6780,WEIR INDUSTRIAL,67,3,12
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6030,BISSET,2810,593,447
Ward 12,6661,CHARLESWORTH,2451,341,149
Ward 12,6140,CRAWFORD PLAINS,3637,340,417
Ward 12,6150,DALY GROVE,3048,286,217
Ward 12,6211,ELLERSLIE,4233,578,755
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6330,JACKSON HEIGHTS,3359,279,292
Ward 12,6370,KINISKI GARDENS,5788,426,435
Ward 12,6390,LARKSPUR,4338,350,300
Ward 12,6444,LAUREL,1115,426,65
Ward 12,6441,MAPLE,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6530,MINCHAU,2603,268,241
Ward 12,6580,POLLARD MEADOWS,3628,822,126
Ward 12,6660,RURAL SOUTH EAST,175,7,18
Ward 12,6442,SILVER BERRY,6360,1144,585
Ward 12,6213,SUMMERSIDE,5555,603,1818
Ward 12,6443,TAMARACK,1673,304,371
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0
Ward 12,6662,WALKER,1411,376,249
Ward 12,6770,WEINLOS,2755,417,273
Ward 12,6790,WILD ROSE,6224,943,864
