Neighbourhood Name,Edmonton Public,Female,Never Married,Non-Canadian Citizen,Post Secondary Student,Rented,Transit,Unemployed
ABBOTTSFIELD,"103,269",944,"61,335","13,398","6,873","44,370","11,310","11,397"
ALBANY,0,0,0,0,0,0,0,0
ALBERTA AVENUE,"325,728","2,876","209,496","32,190","19,575","97,353","45,849","26,361"
ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0
ALDERGROVE,"328,860","2,765","206,364","49,590","24,795","63,336","34,974","13,746"
ALLARD,"13,659",126,"7,221","2,871",696,261,"2,175",174
ALLENDALE,"127,803","1,258","108,228","14,877","23,316","61,248","21,141","5,829"
AMBLESIDE,"133,284","1,169","56,202","15,486","7,221","5,829","5,568","1,566"
ANTHONY HENDAY,0,0,0,0,0,0,0,0
ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,87,0,0
ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0
ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0
ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0
ARGYLL,"51,678",430,"28,275","2,523","3,393","4,524","3,393","1,392"
ARMSTRONG INDUSTRIAL,0,0,0,0,0,87,0,0
ASPEN GARDENS,"109,446",826,"52,722","4,959","10,440","3,828","6,612","1,131"
ATHLONE,"147,204","1,484","108,054","12,006","11,049","23,925","14,007","6,699"
AVONMORE,"123,105","1,012","56,463","4,263","5,655","15,573","11,136","2,697"
BALWIN,"198,099","1,813","141,549","28,884","13,398","51,330","20,793","14,703"
BANNERMAN,"191,574","1,529","116,406","16,269","9,396","34,365","24,360","10,179"
BARANOW,"52,548",643,"32,451","8,352","2,436","24,012","3,219","1,566"
BATURYN,"258,999","2,475","173,739","15,138","14,790","29,667","22,794","8,352"
BEACON HEIGHTS,"161,211","1,352","82,650","12,267","4,785","28,971","15,225","10,092"
BEARSPAW,"142,332","1,065","38,889","4,785","13,137","6,090","8,526","2,088"
BEAUMARIS,"217,761","2,246","129,282","17,574","15,399","42,891","16,008","8,874"
BELGRAVIA,"146,508","1,054","71,949","10,179","28,449","19,401","18,009","1,479"
BELLE RIVE,"196,011","1,973","147,291","14,094","25,404","8,004","11,658","7,308"
BELLEVUE,"59,769",463,"31,668","2,436","3,219","7,917","6,786","1,827"
BELMEAD,"266,046","2,345","161,124","41,760","20,184","43,935","25,404","10,440"
BELMONT,"249,081","2,609","191,748","38,280","15,138","58,290","40,107","12,180"
BELVEDERE,"289,188","2,488","176,871","41,151","13,920","98,484","41,412","18,009"
BERGMAN,"93,960",679,"36,540","4,002","4,437","4,437","5,220","3,306"
BEVERLY HEIGHTS,"182,352","1,583","86,478","7,917","6,177","50,286","16,530","8,091"
BISSET,"214,716","1,899","108,576","51,591","16,356","41,499","21,576","11,571"
BLACKBURNE,"83,868",779,"42,891","6,090","7,830","2,436","4,872",435
BLACKMUD CREEK,"163,647","1,297","87,087","18,096","9,483","8,091","10,788","2,697"
BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0
BLUE QUILL,"266,655","2,240","165,996","73,254","33,060","104,400","45,066","15,312"
BLUE QUILL ESTATES,"76,821",625,"38,454","15,834","7,134","19,836","9,570","1,218"
BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0
BONNIE DOON,"243,339","2,182","146,943","21,315","21,576","88,566","33,234","9,396"
BOYLE STREET,"210,975","2,258","151,119","52,722","18,879","254,649","50,547","27,405"
BRANDER GARDENS,"140,331","1,283","84,216","18,444","15,312","37,845","13,311","4,176"
BRECKENRIDGE GREENS,"117,798",979,"58,986","6,873","5,742","7,308","6,438","2,349"
BRINTNELL,"269,352","2,569","176,001","27,753","14,529","12,267","27,405","6,351"
BRITANNIA YOUNGSTOWN,"266,220","2,274","160,254","47,763","12,006","121,278","32,190","18,618"
BROOKSIDE,"110,403",983,"61,248","6,786","9,135","12,267","8,352","2,436"
BROWN INDUSTRIAL,0,0,0,0,0,0,0,0
BULYEA HEIGHTS,"240,990","1,799","108,141","5,394","30,711","1,740","7,917","2,262"
CAERNARVON,"220,632","2,088","150,858","18,966","14,964","37,149","21,489","9,918"
CALDER,"229,506","1,885","147,465","19,140","9,396","71,775","22,533","15,573"
CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0
CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0
CALLAGHAN,"70,905",580,"36,279","13,572","4,263","1,566","6,003",696
CALLINGWOOD NORTH,"132,414","1,199","83,433","22,533","7,134","49,938","21,924","6,699"
CALLINGWOOD SOUTH,"309,198","2,771","203,667","72,036","14,790","189,138","43,065","23,925"
CAMERON HEIGHTS,"55,854",558,"33,408","3,567","1,827","1,218","1,914",435
CANON RIDGE,"123,018","1,031","70,992","12,528","5,046","23,403","13,137","3,480"
CANORA,"188,268","1,580","121,539","26,187","8,004","95,961","32,277","14,007"
CANOSSA,"156,774","1,626","113,448","13,224","11,397","6,090","8,526","5,046"
CAPILANO,"165,300","1,284","73,689","3,045","9,048","5,742","8,439","1,740"
CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0
CARLISLE,"198,882","1,971","141,549","22,185","13,311","40,803","17,226","10,005"
CARLTON,"152,598","1,356","102,399","14,442","8,613","6,264","6,003","2,784"
CARTER CREST,"88,740",888,"47,937","7,134","11,223","1,392","2,871",696
CASSELMAN,"168,432","1,741","116,754","16,704","11,397","44,022","22,620","10,440"
CENTRAL MCDOUGALL,"221,502","2,095","156,687","74,820","23,838","220,806","51,939","22,272"
CHAMBERY,"96,657","1,040","76,908","7,830","7,569","1,740","4,350","2,001"
CHAPPELLE AREA,"8,091",77,"5,307","1,566",348,348,696,0
CHARLESWORTH,"80,214","1,460","76,560","29,667","7,395","8,265","13,050","2,088"
CLAREVIEW TOWN CENTRE,"178,089","1,570","123,888","46,545","33,930","64,815","46,806","8,352"
CLOVER BAR AREA,0,0,0,0,0,0,0,0
CLOVERDALE,"54,201",447,"23,838","3,393","2,958","7,134","3,219",696
CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0
CORONET INDUSTRIAL,0,0,0,0,0,0,0,0
CPR IRVINE,0,0,0,0,0,0,0,0
CPR WEST,0,0,0,0,0,0,0,0
CRAWFORD PLAINS,"236,466","2,150","145,377","29,580","14,094","25,578","15,921","10,353"
CRESTWOOD,"108,837","1,191","61,074","6,873","12,093","5,829","4,959","1,914"
CROMDALE,"124,845",879,"79,518","23,751","17,052","62,814","29,406","12,354"
CRYSTALLINA NERA,0,0,0,0,0,0,0,0
CUMBERLAND,"303,891","3,209","215,499","27,318","18,270","27,057","18,096","6,960"
DALY GROVE,"228,462","1,747","133,458","24,882","14,355","32,103","14,094","9,309"
DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0
DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0
DECHENE,"71,514",876,"39,759","4,002","8,613","1,740","2,871","1,653"
DELTON,"93,699",937,"62,205","9,744","6,351","28,884","13,398","4,524"
DELWOOD,"170,607","1,701","90,045","11,832","9,396","15,138","15,921","7,482"
DESROCHERS AREA,0,0,0,0,0,0,0,0
DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0
DONSDALE,"62,466",664,"36,627","3,219","8,526",696,696,870
DOVERCOURT,"110,316",990,"49,851","8,526","4,437","18,705","11,745","5,481"
DOWNTOWN,"542,358","5,224","417,513","172,608","163,386","474,585","99,354","22,533"
DUGGAN,"277,182","2,273","155,991","59,595","25,143","53,157","33,582","11,832"
DUNLUCE,"328,164","3,089","226,722","25,665","22,533","74,472","27,666","16,008"
EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0
EASTWOOD,"210,279","1,857","136,590","16,965","8,874","114,144","36,801","24,099"
EAUX CLAIRES,"155,469","1,542","104,313","12,789","15,921","14,181","12,789","3,828"
EBBERS,0,0,0,0,0,0,0,0
EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0
EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0
EDMONTON NORTHLANDS,261,1,0,0,0,87,0,0
EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0
EKOTA,"153,816","1,280","74,559","15,312","8,787","23,055","12,876","4,959"
ELLERSLIE,"293,712","2,734","189,834","50,286","18,618","28,797","18,879","7,221"
ELLERSLIE INDUSTRIAL,0,1,0,0,0,0,0,0
ELMWOOD,"126,933","1,296","70,644","19,749","7,308","29,058","16,182","4,089"
ELMWOOD PARK,"45,153",504,"32,016","12,093","2,523","23,490","5,742","3,654"
ELSINORE,"92,220","1,082","60,552","4,698","10,179","2,088","4,698","1,740"
EMPIRE PARK,"255,432","2,420","187,833","90,045","41,064","184,005","58,986","16,269"
ERMINESKIN,"260,304","2,613","144,855","73,515","24,273","145,812","46,632","13,572"
EVANSDALE,"300,411","2,738","207,582","52,026","18,618","79,779","27,666","17,661"
EVERGREEN,"82,476",681,"36,627","1,566","1,479","3,219","4,002","4,437"
FALCONER HEIGHTS,"121,017","1,153","60,204","7,917","13,833","14,877","6,090","1,740"
FOREST HEIGHTS,"153,468","1,959","86,217","11,223","8,961","57,246","20,445","5,394"
FRASER,"197,664","1,619","117,102","12,615","13,311","26,796","24,012","10,005"
FULTON PLACE,"161,733","1,128","74,733","8,004","9,483","14,268","9,918","3,915"
GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0
GAINER INDUSTRIAL,"13,050",108,"8,439",348,"1,044","1,044",957,348
GARIEPY,"116,319",970,"51,591","5,394","8,091","4,437","4,089","1,827"
GARNEAU,"542,010","4,726","402,114","164,778","295,191","339,909","47,328","12,615"
GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0
GIRARD INDUSTRIAL,0,0,0,0,0,87,0,0
GLASTONBURY,"317,463","3,045","177,306","27,057","19,401","33,321","19,749","5,916"
GLENGARRY,"161,733","1,461","91,959","16,095","9,396","32,103","15,225","7,482"
GLENORA,"194,184","1,798","106,488","14,529","15,138","24,708","12,615","2,610"
GLENWOOD,"267,090","2,381","162,168","54,810","12,441","102,747","41,934","12,615"
GOLD BAR,"193,575","1,394","98,919","13,920","8,439","29,058","13,398","4,611"
GORMAN,0,0,0,0,0,0,0,0
GRANDVIEW HEIGHTS,"45,414",490,"26,361","3,741","5,742","2,001","3,828",435
GRANVILLE,"13,659",112,"8,526","2,436",696,87,957,87
GREENFIELD,"228,549","1,813","113,796","14,094","19,140","11,136","18,618","3,741"
GREENVIEW,"168,954","1,468","90,828","14,964","13,572","16,965","12,789","8,004"
GRIESBACH,"159,036","1,577","102,225","12,615","7,482","72,993","10,527","4,089"
GROVENOR,"117,189","1,206","78,213","7,308","9,396","20,619","11,571","4,350"
HADDOW,"250,821","2,220","142,332","26,361","22,446","9,396","12,702","4,176"
HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0
HAIRSINE,"129,891","1,279","99,702","12,876","9,309","33,060","22,185","6,438"
HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0
HAWKS RIDGE,0,0,0,0,0,0,0,0
HAZELDEAN,"182,352","1,463","96,918","10,962","9,918","45,240","17,661","5,916"
HENDERSON ESTATES,"109,098",932,"57,507","9,048","12,702",522,"4,524","1,827"
HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0
HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0,0
HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0,0
HIGH PARK,"76,038",637,"34,017","4,002","2,175","9,831","7,221","2,349"
HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0
HIGHLANDS,"135,633","1,323","80,127","6,699","9,222","24,099","15,660","4,524"
HILLVIEW,"171,477","1,678","92,394","30,711","12,702","36,366","15,573","6,873"
HODGSON,"174,000","1,322","89,088","19,140","16,182","9,309","11,571","3,654"
HOLLICK-KENYON,"278,922","2,553","170,085","20,706","18,618","8,526","21,489","7,743"
HOLYROOD,"213,672","1,668","99,876","9,831","13,485","53,853","18,531","4,959"
HOMESTEADER,"155,295","1,674","98,658","15,834","10,962","52,374","18,444","10,005"
HUDSON,"102,138",998,"68,991","9,744","8,265","12,876","3,654","1,740"
HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0
IDYLWYLDE,"111,273",928,"49,416","10,005","6,873","35,844","13,485","3,132"
INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0
INGLEWOOD,"406,290","3,002","237,423","59,334","23,316","237,423","63,510","27,927"
JACKSON HEIGHTS,"232,986","1,910","124,758","24,273","21,054","5,829","10,353","4,524"
JAMIESON PLACE,"230,724","2,003","131,718","13,833","21,141","5,742","12,876","4,611"
JASPER PARK,"88,392",953,"23,316","9,570","2,001","26,361","5,481","2,262"
KAMEYOSEK,"149,379","1,544","101,094","41,325","11,310","44,457","18,444","5,568"
KEHEEWIN,"184,440","1,511","92,481","20,532","15,834","19,575","16,530","4,524"
KENILWORTH,"146,421","1,243","61,596","7,569","8,961","17,313","9,570","4,959"
KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0
KENSINGTON,"211,323","1,795","99,615","17,226","8,352","42,978","13,572","7,569"
KERNOHAN,"140,157","1,574","96,222","10,962","9,831","15,138","19,140","4,959"
KILDARE,"115,275","1,446","86,043","7,917","5,742","38,367","14,268","8,352"
KILKENNY,"324,249","2,799","223,068","37,671","22,185","70,122","35,583","17,661"
KILLARNEY,"228,810","1,970","132,153","34,974","9,744","92,742","32,625","17,661"
KING EDWARD PARK,"225,939","1,993","136,329","23,229","17,226","81,432","30,885","9,309"
KINISKI GARDENS,"392,196","3,231","233,856","37,062","31,059","22,620","23,316","13,659"
KINOKAMAU PLAINS AREA,"2,001",49,"1,566",0,87,435,0,435
KIRKNESS,"221,676","1,907","141,723","21,489","12,528","50,286","28,971","11,919"
KLARVATTEN,"190,530","2,372","161,037","20,271","18,531","7,743","18,270","7,917"
LA PERLE,"256,215","2,610","169,302","32,103","21,228","53,070","20,619","9,657"
LAGO LINDO,"215,064","1,972","140,418","10,788","17,661","11,310","18,270","6,612"
