,Year (group)  /  UCR Violation Type Group (Incident) (group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,,2010,,,,,,,,2011,,,,,,,,"2,012",,,,,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,,
Neighbourhood Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000
ABBOTTSFIELD,22099,18081,,18081,8036,14063,14063,,22110,16080,2010,6030,8040,16080,16080,,24132,10055,,12066,8044,22121,14077,,24144,16096,,8048,12072,10060,12072,,24156,12078,,14091,14091,14091,20130,2013,24168,10070,,10070,8056,20140,22154,,18135,4030,,12090,8060,18135,20150,,12096,8064,,6048,,8064,4032,
ALBANY,,,,,,,,,,,,,,2010,,,,2011,,,,,,2011,2012,,,2012,,2012,4024,2012,2013,8052,,,,12078,4026,,4028,10070,,2014,,10070,6042,2014,12090,16120,,4030,,16120,6045,2015,6048,6048,,2016,2016,12096,2016,2016
ALBERTA AVENUE,24108,24108,2009,22099,20090,24108,24108,4018,24120,24120,2010,20100,12060,24120,24120,2010,24132,24132,2011,22121,18099,24132,24132,4022,24144,24144,2012,18108,16096,24144,24144,2012,24156,24156,2013,22143,14091,24156,24156,4026,24168,24168,2014,22154,6042,24168,24168,,24180,24180,,24180,18135,24180,24180,4030,12096,12096,2016,10080,6048,12096,12096,2016
ALBERTA PARK INDUSTRIAL,,20090,,,,16072,8036,4018,4020,14070,,,4020,6030,16080,,,8044,,,,6033,4022,2011,,8048,,,2012,12072,6036,,,12078,,,,8052,6039,,,6042,,,,6042,10070,,,14105,,,2015,12090,12090,4030,2016,4032,,,,10080,4032,4032
ALDERGROVE,18081,20090,,10045,4018,22099,20090,,22110,14070,,4020,4020,18090,16080,,10055,12066,,8044,8044,22121,16088,,20120,14084,,10060,2012,24144,16096,4024,16104,16104,,10065,4026,16104,16104,,18126,16112,,12084,6042,22154,18126,2014,12090,20150,,8060,2015,18135,18135,,8064,10080,,4032,2016,10080,12096,
ALLARD,,,,,,,,,,2010,,,,,,,,2011,,,,2011,,4022,2012,2012,,,,2012,2012,,,8052,,,,6039,,4026,2014,8056,,,,4028,4028,2014,2015,12090,,,,8060,8060,2015,6048,6048,,,,8064,2016,2016
ALLENDALE,20090,18081,,12054,2009,24108,20090,2009,14070,20100,,6030,8040,18090,20100,2010,16088,20110,,2011,4022,22121,18099,,24144,20120,,,8048,20120,16096,,18117,20130,,4026,2013,20130,8052,2013,20140,14098,,2014,8056,22154,16112,4028,18135,20150,,4030,,20150,18135,4030,6048,10080,,6048,,12096,10080,
AMBLESIDE,4018,14063,,,,20090,12054,8036,6030,12060,,2010,,14070,4020,2010,4022,10055,,,,10055,14077,2011,8048,18108,,2012,,16096,6036,4024,4026,14091,,6039,,16104,8052,2013,6042,16112,,2014,2014,14098,10070,6042,12090,24180,,,2015,18135,14105,6045,6048,6048,,,2016,6048,6048,2016
ANTHONY HENDAY,4018,4018,,,,4018,4018,,2010,4020,,,,,2010,4020,2011,,,,,4022,2011,,2012,,,,,,,4024,2013,2013,,2013,,2013,4026,,,,,,2014,,,,2015,2015,,,,,,,,2016,,,,2016,2016,
ANTHONY HENDAY CASTLEDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2015,,,,,,,,,
ANTHONY HENDAY LAKE DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,2014,,,,,,,,,,,,,,,,,,
ANTHONY HENDAY MISTATIM,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,
ANTHONY HENDAY SOUTH,,2009,,,,2009,4018,,2010,2010,,,,2010,4020,,,4022,,,,,2011,4022,2012,2012,,,,,4024,2012,4026,4026,,,,,2013,,2014,,,2014,,2014,,,2015,6045,,,,2015,2015,,2016,,,,,,,2016
ANTHONY HENDAY SOUTH WEST,2009,,,,,,2009,2009,2010,,,,,4020,,,2011,,,,,,,,,,,2012,,,2012,,,,,,,4026,,,,,,,,4028,4028,,4030,,,,,,2015,,,,,,,2016,,
ANTHONY HENDAY TERWILLEGAR,,,,,,,,,,,,,,,2010,2010,,,,,,,,2011,2012,,,2012,,2012,4024,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,
ARGYLL,6027,12054,,,,8036,12054,2009,2010,12060,,,,10050,4020,,4022,2011,,2011,2011,8044,6033,,2012,8048,,,,10060,2012,,2013,6039,,,,6039,4026,,4028,10070,,2014,,12084,4028,,2015,8060,,2015,,2015,4030,,,4032,,,2016,6048,2016,
ARMSTRONG INDUSTRIAL,4018,6027,,4018,2009,16072,8036,2009,12060,6030,,,,20100,8040,4020,14077,6033,,,,12066,8044,2011,12072,2012,,,2012,12072,4024,6036,6039,14091,,2013,2013,16104,14091,4026,4028,,,,,16112,6042,4028,4030,2015,,,,16120,8060,2015,2016,4032,,,2016,6048,10080,
ASPEN GARDENS,,12054,,,,8036,6027,,,10050,,2010,,12060,10050,,,2011,,4022,,8044,4022,,8048,10060,,,2012,8048,8048,,,8052,,,2013,8052,2013,2013,8056,6042,,,4028,10070,2014,,6045,10075,,,2015,12090,4030,,2016,4032,,,,10080,4032,
ATHLONE,16072,18081,,8036,2009,24108,22099,,18090,22110,,6030,10050,24120,18090,4020,12066,14077,,2011,4022,20110,12066,,12072,14084,,10060,4024,22132,12072,2012,22143,22143,,6039,4026,20130,20130,4026,18126,18126,,,2014,20140,18126,,20150,20150,,4030,2015,22165,20150,2015,8064,10080,,4032,2016,12096,8064,
AVONMORE,10045,20090,2009,,2009,20090,16072,,10050,6030,,,,12060,10050,,12066,14077,,2011,,18099,6033,,8048,12072,,4024,4024,12072,6036,,16104,16104,,2013,2013,14091,10065,,12084,18126,,,,20140,14098,,8060,14105,,2015,,16120,10075,,6048,10080,,,,12096,6048,
BALWIN,24108,22099,2009,18081,8036,24108,22099,,24120,20100,,20100,8040,24120,20100,2010,24132,20110,4022,10055,6033,20110,22121,,24144,24144,,16096,8048,20120,20120,,24156,20130,2013,16104,8052,22143,18117,,24168,22154,,10070,8056,24168,20140,,22165,24180,,8060,6045,20150,22165,,12096,10080,,4032,8064,12096,12096,
BANNERMAN,22099,20090,,12054,4018,24108,24108,2009,20100,20100,,4020,6030,14070,14070,,16088,8044,,12066,4022,18099,16088,2011,20120,8048,,4024,4024,16096,12072,,20130,8052,,2013,8052,20130,6039,4026,20140,10070,,4028,8056,18126,16112,,20150,12090,,,2015,20150,14105,2015,10080,10080,,4032,2016,10080,10080,
BARANOW,8036,20090,,4018,2009,22099,12054,,8040,20100,,6030,,20100,14070,6030,12066,14077,,4022,2011,18099,4022,4022,18108,14084,,4024,4024,12072,12072,,14091,14091,,,,18117,10065,,10070,12084,,6042,,22154,14098,2014,4030,14105,,4030,2015,12090,12090,4030,4032,8064,,8064,,12096,6048,
BATURYN,12054,10045,,4018,4018,24108,16072,8036,16080,12060,,2010,2010,22110,14070,4020,18099,10055,,4022,2011,24132,12066,,20120,10060,,4024,,16096,8048,2012,14091,10065,,,4026,20130,12078,,16112,14098,,6042,6042,22154,20140,,18135,10075,,,4030,20150,18135,4030,2016,8064,,4032,2016,10080,12096,
BEACON HEIGHTS,24108,24108,2009,12054,6027,24108,20090,,24120,22110,,14070,10050,24120,18090,4020,24132,22121,2011,16088,10055,20110,22121,2011,24144,20120,,14084,6036,20120,22132,2012,24156,18117,,12078,8052,24156,20130,6039,24168,16112,,16112,6042,22154,22154,8056,24180,22165,,18135,10075,18135,16120,,12096,10080,2016,6048,2016,12096,12096,4032
BEARSPAW,4018,6027,,,,12054,6027,,,6030,,,2010,16080,4020,2010,6033,4022,,,,8044,,,2012,6036,,2012,,8048,6036,,,6039,,2013,,8052,2013,,6042,6042,,,2014,10070,14098,,,6045,,4030,,10075,,2015,2016,2016,,,,2016,4032,
BEAUMARIS,16072,16072,,10045,2009,24108,20090,,14070,22110,,8040,2010,24120,20100,2010,14077,20110,,4022,4022,18099,18099,,14084,20120,2012,6036,2012,14084,16096,2012,10065,16104,,12078,6039,24156,20130,2013,14098,16112,,6042,8056,24168,18126,2014,16120,16120,,2015,2015,22165,12090,2015,10080,6048,,,4032,10080,10080,
BELGRAVIA,6027,22099,,2009,,16072,6027,,4020,16080,,,2010,12060,6030,,2011,14077,,,2011,4022,8044,,2012,18108,,2012,2012,12072,2012,,,14091,,,,12078,2013,2013,4028,18126,,,2014,18126,6042,,2015,18135,,,4030,20150,4030,,2016,12096,,,,8064,2016,
BELLE RIVE,14063,20090,,,,18081,12054,2009,10050,8040,,,,16080,14070,2010,10055,8044,,4022,2011,12066,4022,2011,14084,4024,,2012,,12072,10060,2012,12078,8052,2013,,,20130,8052,2013,4028,14098,,2014,2014,20140,10070,2014,8060,10075,,,4030,16120,10075,2015,6048,8064,,2016,6048,10080,6048,
BELLEVUE,14063,14063,,2009,2009,18081,6027,,6030,14070,,,,20100,10050,,20110,8044,,,6033,20110,10055,,16096,18108,,2012,2012,12072,8048,,16104,8052,,6039,2013,8052,12078,,8056,12084,,2014,4028,18126,14098,,16120,16120,,2015,2015,22165,14105,,6048,8064,,2016,,12096,8064,
BELMEAD,18081,16072,2009,8036,2009,20090,24108,,14070,20100,,14070,6030,18090,20100,,22121,14077,,6033,4022,22121,16088,4022,22132,10060,,8048,8048,20120,12072,,22143,16104,,2013,4026,18117,16104,,18126,18126,,10070,,20140,18126,,22165,12090,,8060,2015,24180,18135,2015,12096,6048,,4032,2016,12096,10080,
BELMONT,20090,18081,,10045,8036,24108,22099,2009,20100,12060,2010,6030,6030,20100,16080,4020,20110,16088,,8044,8044,18099,20110,,18108,12072,,10060,4024,22132,14084,,14091,18117,,12078,6039,16104,12078,,16112,18126,,8056,10070,22154,20140,,12090,18135,,8060,4030,20150,16120,,4032,6048,,4032,,12096,8064,2016
BELVEDERE,24108,24108,,20090,8036,24108,24108,2009,24120,24120,,20100,12060,24120,22110,2010,24132,24132,2011,20110,14077,24132,24132,2011,24144,24144,2012,14084,6036,24144,22132,4024,24156,24156,,18117,14091,24156,22143,6039,24168,22154,,18126,10070,24168,24168,10070,22165,22165,,18135,10075,24180,24180,4030,12096,12096,,8064,2016,12096,12096,
BERGMAN,8036,12054,,,,10045,10045,,6030,18090,,2010,,14070,10050,2010,4022,14077,,,2011,14077,12066,,4024,14084,,,2012,16096,2012,,10065,16104,,2013,4026,16104,12078,,6042,8056,,,4028,16112,14098,,10075,12090,,2015,,12090,14105,,2016,4032,,2016,,12096,6048,
BEVERLY HEIGHTS,22099,22099,,14063,10045,24108,16072,,24120,22110,,14070,2010,20100,16080,2010,22121,20110,,8044,2011,22121,20110,,24144,24144,,10060,4024,20120,14084,2012,24156,18117,2013,6039,12078,22143,14091,2013,22154,18126,,10070,10070,22154,22154,2014,22165,22165,,12090,8060,24180,22165,6045,12096,12096,,2016,6048,12096,12096,2016
BISSET,16072,12054,,2009,6027,20090,14063,,14070,12060,,2010,6030,18090,10050,4020,16088,12066,,,2011,22121,14077,,10060,20120,,,2012,22132,18108,,20130,12078,,,4026,20130,20130,,18126,10070,,,4028,18126,14098,2014,14105,12090,,,,14105,12090,2015,12096,10080,,2016,2016,12096,10080,
BLACKBURNE,2009,4018,,,,12054,6027,,2010,6030,,,,8040,2010,,,,,,,4022,4022,,2012,4024,,,,6036,4024,2012,4026,2013,,,2013,8052,4026,,4028,2014,,,,10070,,,2015,6045,,2015,,6045,,2015,,4032,,,,6048,2016,
BLACKMUD CREEK,8036,4018,,,2009,16072,4018,2009,8040,8040,,,2010,18090,6030,2010,4022,12066,,2011,,14077,6033,2011,6036,10060,,2012,,12072,4024,4024,4026,6039,,,,12078,6039,,2014,12084,,2014,,16112,2014,,8060,14105,,2015,2015,14105,6045,,,8064,,,2016,8064,6048,
BLACKMUD CREEK RAVINE,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE QUILL,14063,18081,,6027,6027,20090,22099,,18090,18090,2010,6030,10050,18090,16080,,18099,22121,,6033,4022,18099,12066,2011,18108,14084,4024,10060,4024,20120,10060,,10065,12078,,6039,2013,18117,14091,,14098,20140,,4028,6042,14098,10070,2014,16120,20150,,16120,2015,18135,20150,4030,6048,10080,,4032,2016,12096,2016,
BLUE QUILL ESTATES,,12054,,,,14063,12054,,8040,8040,,,2010,8040,4020,,8044,6033,,2011,,10055,10055,,,8048,,,,4024,4024,,2013,6039,,,2013,8052,8052,,6042,8056,,,,12084,6042,,,8060,2015,2015,2015,16120,,2015,4032,4032,,,,4032,,
BONAVENTURE INDUSTRIAL,,12054,,,,14063,16072,4018,,16080,,,,14070,10050,2010,,12066,,,,12066,10055,4022,2012,12072,,,2012,6036,4024,,4026,18117,,,,12078,14091,4026,8056,16112,,2014,,10070,16112,4028,4030,10075,,2015,,12090,16120,6045,,4032,,,,10080,8064,2016
BONNIE DOON,22099,24108,,16072,8036,24108,24108,4018,22110,24120,,12060,8040,24120,20100,2010,22121,20110,,12066,16088,24132,20110,4022,24144,22132,,4024,8048,18108,14084,,24156,20130,,16104,8052,22143,24156,2013,24168,22154,,18126,6042,18126,20140,4028,24180,24180,,16120,,24180,16120,6045,12096,12096,,4032,,12096,10080,4032
BOYLE STREET,24108,24108,,24108,20090,24108,24108,6027,24120,22110,,20100,22110,24120,24120,2010,24132,22121,6033,22121,22121,24132,20110,6033,24144,24144,2012,24144,22132,24144,24144,6036,24156,22143,,24156,20130,24156,20130,,24168,24168,2014,20140,20140,24168,22154,4028,24180,24180,,24180,20150,24180,24180,2015,12096,12096,2016,8064,8064,12096,12096,4032
BRANDER GARDENS,6027,8036,,,2009,16072,4018,,12060,8040,,,2010,14070,2010,2010,10055,8044,,2011,2011,12066,2011,2011,8048,8048,,,2012,6036,2012,,6039,12078,,2013,,14091,2013,,4028,8056,,,6042,6042,4028,,14105,14105,,,4030,16120,8060,,6048,6048,2016,,,8064,6048,2016
BRECKENRIDGE GREENS,6027,6027,,,,18081,6027,,2010,12060,,2010,,18090,14070,2010,,6033,,,,10055,4022,,4024,4024,,,,10060,6036,,,2013,,,2013,8052,2013,,6042,4028,,,,8056,2014,,4030,12090,,,,16120,4030,,2016,4032,,,,10080,4032,
BRINTNELL,10045,6027,,4018,4018,18081,16072,4018,10050,14070,,,2010,20100,16080,4020,10055,8044,,,2011,16088,10055,2011,12072,14084,,,2012,18108,14084,2012,16104,14091,,,2013,18117,4026,,8056,6042,,4028,6042,18126,18126,2014,14105,16120,,4030,4030,24180,20150,,6048,4032,,,2016,12096,8064,2016
BRITANNIA YOUNGSTOWN,24108,24108,,20090,6027,24108,24108,2009,20100,22110,,8040,8040,24120,20100,2010,22121,22121,,16088,10055,22121,18099,6033,24144,18108,,10060,12072,22132,20120,,24156,22143,,10065,10065,24156,20130,2013,24168,20140,,14098,6042,22154,22154,,24180,20150,,14105,12090,24180,18135,8060,12096,12096,,8064,2016,10080,12096,2016
BROOKSIDE,8036,4018,,,2009,6027,4018,,6030,8040,,,6030,4020,2010,2010,8044,4022,,,,2011,,,2012,4024,,,2012,6036,,,6039,8052,,,4026,6039,2013,2013,8056,6042,,,4028,4028,4028,,,4030,,,,4030,4030,2015,,6048,,,,6048,,
BROWN INDUSTRIAL,2009,14063,,2009,,6027,2009,,,8040,,2010,,4020,8040,,6033,6033,,,,10055,2011,,,4024,,,,2012,2012,2012,2013,,,,,8052,8052,,,6042,,,,10070,12084,2014,2015,12090,,,,8060,4030,,,2016,,,,4032,2016,
BULYEA HEIGHTS,14063,12054,,,,16072,8036,,2010,10050,,2010,,10050,4020,2010,,2011,,,,12066,4022,2011,6036,10060,,,,4024,2012,,2013,2013,,,2013,10065,2013,,2014,4028,,,,6042,4028,,2015,12090,2015,2015,2015,18135,6045,,2016,6048,,,,2016,,
CAERNARVON,22099,20090,,10045,8036,20090,16072,,22110,20100,2010,6030,4020,20100,20100,,20110,18099,2011,4022,2011,20110,12066,,16096,16096,,8048,4024,22132,16096,,14091,16104,,10065,6039,24156,22143,2013,18126,20140,,16112,8056,24168,16112,2014,20150,20150,,8060,10075,18135,14105,,12096,4032,,2016,,12096,6048,2016
CALDER,24108,22099,,16072,8036,24108,22099,2009,24120,24120,2010,20100,8040,24120,22110,,24132,20110,2011,10055,10055,22121,24132,2011,24144,24144,2012,6036,10060,24144,20120,4024,22143,24156,,14091,10065,24156,24156,,22154,24168,,16112,10070,24168,22154,,24180,24180,,14105,10075,24180,22165,4030,12096,12096,,4032,2016,12096,12096,
CALGARY TRAIL NORTH,20090,20090,,6027,,24108,22099,2009,16080,18090,,6030,2010,24120,20100,,18099,18099,,2011,,22121,22121,,24144,16096,,8048,6036,24144,20120,4024,22143,20130,,4026,8052,24156,22143,6039,20140,22154,,4028,2014,22154,22154,2014,22165,20150,,10075,4030,22165,24180,12090,12096,12096,,,,12096,10080,2016
CALGARY TRAIL SOUTH,22099,16072,,2009,2009,24108,14063,4018,16080,12060,,2010,,24120,12060,2010,16088,8044,,12066,2011,18099,8044,,18108,10060,,6036,8048,24144,16096,2012,16104,18117,,6039,4026,24156,16104,6039,14098,12084,,4028,2014,22154,10070,,16120,16120,,12090,4030,20150,22165,2015,10080,6048,,2016,,12096,8064,
CALLAGHAN,,10045,,,,,,,,4020,,,,2010,,4020,,4022,,,,4022,,4022,4024,8048,,2012,2012,2012,2012,,6039,4026,,2013,,4026,,4026,4028,6042,,4028,,12084,,,14105,8060,,,,14105,4030,2015,4032,4032,,,,8064,8064,
CALLINGWOOD NORTH,22099,16072,,10045,,20090,16072,2009,18090,12060,,4020,4020,24120,14070,,16088,14077,,10055,6033,16088,16088,,18108,14084,,10060,4024,20120,10060,,12078,12078,,2013,4026,18117,10065,,12084,10070,,4028,,20140,10070,2014,18135,10075,,6045,4030,18135,16120,,10080,4032,,8064,6048,12096,10080,
CALLINGWOOD SOUTH,24108,22099,,22099,6027,24108,24108,2009,24120,22110,2010,10050,12060,24120,24120,,22121,22121,,12066,12066,20110,18099,,24144,14084,,12072,6036,22132,22132,,22143,18117,,10065,8052,18117,16104,4026,24168,14098,,8056,8056,22154,14098,8056,22165,22165,,18135,2015,24180,24180,,10080,10080,,6048,8064,12096,12096,
CAMERON HEIGHTS,,6027,,,,8036,4018,2009,2010,4020,,,,,2010,,,,,,,8044,4022,,,4024,,,,4024,2012,,4026,,,,,8052,4026,,2014,8056,,,,8056,,6042,,12090,,,,12090,4030,2015,,4032,,,2016,6048,2016,
CANON RIDGE,6027,10045,,,,12054,4018,,14070,4020,,4020,,16080,8040,2010,6033,12066,,,,10055,8044,,10060,8048,,,,16096,14084,,12078,6039,,,,16104,16104,,12084,6042,,6042,2014,22154,10070,,12090,10075,,4030,2015,18135,22165,,8064,8064,,,2016,12096,8064,
CANORA,24108,22099,,22099,6027,24108,24108,,24120,22110,,12060,10050,22110,24120,4020,24132,18099,,18099,8044,22121,18099,2011,24144,20120,2012,18108,14084,22132,18108,2012,24156,22143,,8052,14091,20130,12078,,24168,22154,,14098,8056,24168,24168,4028,24180,14105,,18135,4030,22165,18135,8060,12096,10080,,8064,2016,12096,12096,2016
CANOSSA,10045,18081,,4018,4018,20090,18081,4018,12060,10050,,4020,,18090,16080,,6033,6033,,,4022,8044,8044,,4024,4024,,2012,,18108,2012,,8052,8052,,,,8052,10065,,8056,4028,,6042,,14098,6042,,4030,6045,,,4030,18135,6045,,,8064,,,,10080,4032,
CAPILANO,6027,10045,,,2009,16072,10045,,8040,10050,,,,10050,6030,,2011,16088,,,,8044,6033,,4024,18108,,4024,4024,12072,14084,,4026,10065,,,4026,12078,4026,,14098,14098,,,2014,16112,2014,,8060,16120,,,,22165,8060,,4032,6048,,,4032,4032,10080,2016
CARLETON SQUARE INDUSTRIAL,4018,4018,,4018,,10045,12054,2009,2010,2010,,,,12060,4020,,4022,4022,,,,12066,10055,,4024,4024,,,,4024,10060,,6039,4026,,,,10065,14091,2013,2014,4028,,2014,,16112,6042,2014,4030,10075,,2015,2015,10075,6045,,2016,,,,,2016,2016,2016
CARLISLE,12054,12054,,2009,,22099,14063,,12060,18090,,2010,4020,18090,14070,,12066,12066,,2011,,18099,14077,,16096,16096,,2012,4024,14084,12072,,14091,20130,,4026,2013,24156,18117,,18126,10070,,,4028,18126,14098,2014,16120,14105,,2015,6045,22165,18135,,8064,8064,,2016,4032,12096,12096,2016
CARLTON,8036,14063,,2009,,16072,14063,,6030,10050,,2010,,14070,8040,,6033,2011,,,,16088,4022,,2012,14084,,,,10060,4024,,6039,14091,,,,12078,12078,4026,8056,10070,,,2014,12084,12084,2014,,16120,,,,20150,14105,2015,4032,8064,,2016,2016,10080,6048,
CARTER CREST,,8036,,,,8036,2009,,2010,10050,,,,10050,,2010,,2011,,,,6033,,,,2012,,,2012,2012,,2012,4026,,,,2013,2013,,,2014,2014,,,2014,6042,2014,2014,2015,4030,,,,6045,2015,,2016,6048,,,,2016,6048,
CASSELMAN,18081,18081,,10045,,18081,20090,,16080,18090,2010,4020,4020,16080,14070,,22121,10055,,6033,2011,24132,14077,2011,20120,8048,,6036,4024,16096,14084,2012,22143,10065,,8052,,18117,22143,,20140,12084,,4028,2014,22154,16112,,20150,12090,,6045,6045,22165,12090,,8064,4032,,,,12096,10080,
