NUMBER,NAME,LATITUDE,LONGITUDE,Location
2010,Abbottsfield,53.5741424560547,-113.388759613037,"(53.5741424560547, -113.388759613037)"
3460,Albany,53.632381439209,-113.549465179443,"(53.632381439209, -113.549465179443)"
1010,Alberta Avenue,53.5684852600098,-113.485122680664,"(53.5684852600098, -113.485122680664)"
4010,Alberta Park Industrial,53.5667343139648,-113.59646987915,"(53.5667343139648, -113.59646987915)"
4020,Aldergrove,53.5168876647949,-113.641242980957,"(53.5168876647949, -113.641242980957)"
5458,Allard,53.4011917114258,-113.526683807373,"(53.4011917114258, -113.526683807373)"
5010,Allendale,53.5022773742676,-113.504821777344,"(53.5022773742676, -113.504821777344)"
5505,Ambleside,53.4305992126465,-113.600673675537,"(53.4305992126465, -113.600673675537)"
4011,Anthony Henday,53.5413208007813,-113.659057617188,"(53.5413208007813, -113.659057617188)"
4018,Anthony Henday Big Lake,53.592212677002,-113.647880554199,"(53.592212677002, -113.647880554199)"
4016,Anthony Henday Castledowns,53.6432991027832,-113.533283233643,"(53.6432991027832, -113.533283233643)"
4022,Anthony Henday Clareview,53.6181221008301,-113.357780456543,"(53.6181221008301, -113.357780456543)"
4019,Anthony Henday Energy Park,53.6395645141602,-113.407218933105,"(53.6395645141602, -113.407218933105)"
4021,Anthony Henday Horse Hill,53.6313629150391,-113.37894821167,"(53.6313629150391, -113.37894821167)"
4017,Anthony Henday Lake District,53.6469078063965,-113.467372894287,"(53.6469078063965, -113.467372894287)"
4015,Anthony Henday Mistatim,53.6084785461426,-113.611957550049,"(53.6084785461426, -113.611957550049)"
4023,Anthony Henday Rampart,53.6276359558105,-113.576202392578,"(53.6276359558105, -113.576202392578)"
4014,Anthony Henday South,53.432201385498,-113.547706604004,"(53.432201385498, -113.547706604004)"
6665,Anthony Henday South East,53.4430160522461,-113.35428237915,"(53.4430160522461, -113.35428237915)"
4012,Anthony Henday South West,53.4854927062988,-113.658882141113,"(53.4854927062988, -113.658882141113)"
4013,Anthony Henday Terwillegar,53.4437789916992,-113.598083496094,"(53.4437789916992, -113.598083496094)"
6010,Argyll,53.503101348877,-113.460540771484,"(53.503101348877, -113.460540771484)"
4030,Armstrong Industrial,53.5658626556396,-113.62126159668,"(53.5658626556396, -113.62126159668)"
5020,Aspen Gardens,53.4775352478027,-113.545665740967,"(53.4775352478027, -113.545665740967)"
3010,Athlone,53.5880241394043,-113.550983428955,"(53.5880241394043, -113.550983428955)"
6020,Avonmore,53.5077781677246,-113.451629638672,"(53.5077781677246, -113.451629638672)"
2020,Balwin,53.5879516601563,-113.455074310303,"(53.5879516601563, -113.455074310303)"
2030,Bannerman,53.6039505004883,-113.378620147705,"(53.6039505004883, -113.378620147705)"
3020,Baranow,53.60573387146,-113.536102294922,"(53.60573387146, -113.536102294922)"
3030,Baturyn,53.6309814453125,-113.504337310791,"(53.6309814453125, -113.504337310791)"
2040,Beacon Heights,53.5735397338867,-113.40604019165,"(53.5735397338867, -113.40604019165)"
5030,Bearspaw,53.4434623718262,-113.50053024292,"(53.4434623718262, -113.50053024292)"
3040,Beaumaris,53.6184234619141,-113.505004882813,"(53.6184234619141, -113.505004882813)"
5040,Belgravia,53.5117950439453,-113.532726287842,"(53.5117950439453, -113.532726287842)"
2050,Belle Rive,53.6223011016846,-113.473594665527,"(53.6223011016846, -113.473594665527)"
2060,Bellevue,53.5664176940918,-113.445945739746,"(53.5664176940918, -113.445945739746)"
4040,Belmead,53.5256042480469,-113.641014099121,"(53.5256042480469, -113.641014099121)"
2070,Belmont,53.5931243896484,-113.394378662109,"(53.5931243896484, -113.394378662109)"
2080,Belvedere,53.5910568237305,-113.436061859131,"(53.5910568237305, -113.436061859131)"
2090,Bergman,53.5795631408691,-113.40966796875,"(53.5795631408691, -113.40966796875)"
2100,Beverly Heights,53.5641212463379,-113.402648925781,"(53.5641212463379, -113.402648925781)"
6030,Bisset,53.4589042663574,-113.400657653809,"(53.4589042663574, -113.400657653809)"
5590,Blackburne,53.429069519043,-113.498310089111,"(53.429069519043, -113.498310089111)"
5453,Blackmud Creek,53.4196586608887,-113.510787963867,"(53.4196586608887, -113.510787963867)"
5050,Blackmud Creek Ravine,53.4468688964844,-113.524166107178,"(53.4468688964844, -113.524166107178)"
5060,Blue Quill,53.4576263427734,-113.526237487793,"(53.4576263427734, -113.526237487793)"
5070,Blue Quill Estates,53.4576263427734,-113.540195465088,"(53.4576263427734, -113.540195465088)"
4050,Bonaventure Industrial,53.5915260314941,-113.572158813477,"(53.5915260314941, -113.572158813477)"
6040,Bonnie Doon,53.5253372192383,-113.467109680176,"(53.5253372192383, -113.467109680176)"
1020,Boyle Street,53.5476303100586,-113.479263305664,"(53.5476303100586, -113.479263305664)"
5080,Brander Gardens,53.4952087402344,-113.579425811768,"(53.4952087402344, -113.579425811768)"
4700,Breckenridge Greens,53.5165252685547,-113.684349060059,"(53.5165252685547, -113.684349060059)"
2110,Brintnell,53.621395111084,-113.407115936279,"(53.621395111084, -113.407115936279)"
4060,Britannia Youngstown,53.5462951660156,-113.601509094238,"(53.5462951660156, -113.601509094238)"
5090,Brookside,53.4918327331543,-113.568126678467,"(53.4918327331543, -113.568126678467)"
3050,Brown Industrial,53.5823974609375,-113.568008422852,"(53.5823974609375, -113.568008422852)"
5100,Bulyea Heights,53.4747467041016,-113.569423675537,"(53.4747467041016, -113.569423675537)"
3060,Caernarvon,53.6119003295898,-113.526401519775,"(53.6119003295898, -113.526401519775)"
3070,Calder,53.5880546569824,-113.528873443604,"(53.5880546569824, -113.528873443604)"
5110,Calgary Trail North,53.4901561737061,-113.494071960449,"(53.4901561737061, -113.494071960449)"
5120,Calgary Trail South,53.47119140625,-113.493530273438,"(53.47119140625, -113.493530273438)"
5457,Callaghan,53.4066886901855,-113.52864074707,"(53.4066886901855, -113.52864074707)"
4070,Callingwood North,53.5075988769531,-113.623027801514,"(53.5075988769531, -113.623027801514)"
4080,Callingwood South,53.5005149841309,-113.623031616211,"(53.5005149841309, -113.623031616211)"
4466,Cameron Heights,,,
2120,Canon Ridge,53.5787887573242,-113.379219055176,"(53.5787887573242, -113.379219055176)"
4090,Canora,53.5461921691895,-113.584213256836,"(53.5461921691895, -113.584213256836)"
3080,Canossa,53.6361923217773,-113.522689819336,"(53.6361923217773, -113.522689819336)"
6061,Capilano,53.5546722412109,-113.422790527344,"(53.5546722412109, -113.422790527344)"
4100,Carleton Square Industrial,53.573429107666,-113.608882904053,"(53.573429107666, -113.608882904053)"
3090,Carlisle,53.6035194396973,-113.525913238525,"(53.6035194396973, -113.525913238525)"
3470,Carlton,53.6216526031494,-113.559371948242,"(53.6216526031494, -113.559371948242)"
5130,Carter Crest,53.4648857116699,-113.577800750732,"(53.4648857116699, -113.577800750732)"
5466,Cashman,53.4174575805664,-113.500694274902,"(53.4174575805664, -113.500694274902)"
2130,Casselman,53.6113471984863,-113.424129486084,"(53.6113471984863, -113.424129486084)"
1030,Central McDougall,53.5532836914063,-113.501068115234,"(53.5532836914063, -113.501068115234)"
3120,Chambery,53.6407623291016,-113.51176071167,"(53.6407623291016, -113.51176071167)"
5462,Chappelle Area,53.4029159545898,-113.586917877197,"(53.4029159545898, -113.586917877197)"
6661,Charlesworth,53.4285430908203,-113.424285888672,"(53.4285430908203, -113.424285888672)"
2145,Clareview Town Centre,53.601936340332,-113.406898498535,"(53.601936340332, -113.406898498535)"
2160,Clover Bar Area,53.5915107727051,-113.333358764648,"(53.5915107727051, -113.333358764648)"
6070,Cloverdale,53.5368576049805,-113.474010467529,"(53.5368576049805, -113.474010467529)"
6090,Coronet Addition Industrial,53.5027275085449,-113.451652526855,"(53.5027275085449, -113.451652526855)"
6100,Coronet Industrial,53.4939651489258,-113.478977203369,"(53.4939651489258, -113.478977203369)"
6110,CPR Irvine,53.5075263977051,-113.490547180176,"(53.5075263977051, -113.490547180176)"
6140,Crawford Plains,53.441722869873,-113.406211853027,"(53.441722869873, -113.406211853027)"
3140,Crestwood,53.5354347229004,-113.569034576416,"(53.5354347229004, -113.569034576416)"
1070,Cromdale,53.5590591430664,-113.469043731689,"(53.5590591430664, -113.469043731689)"
2210,Crystallina Nera,53.6403198242188,-113.460384368896,"(53.6403198242188, -113.460384368896)"
2462,Crystallina Nera East,53.6407852172852,-113.44898223877,"(53.6407852172852, -113.44898223877)"
3150,Cumberland,53.6105613708496,-113.553188323975,"(53.6105613708496, -113.553188323975)"
2611,Cy Becker,53.6323623657227,-113.408123016357,"(53.6323623657227, -113.408123016357)"
6150,Daly Grove,53.449535369873,-113.400726318359,"(53.449535369873, -113.400726318359)"
6160,Davies Industrial East,53.5061874389648,-113.433139801025,"(53.5061874389648, -113.433139801025)"
6170,Davies Industrial West,53.4984359741211,-113.450359344482,"(53.4984359741211, -113.450359344482)"
4110,Dechene,53.4904365539551,-113.63595199585,"(53.4904365539551, -113.63595199585)"
1080,Delton,53.5790481567383,-113.482448577881,"(53.5790481567383, -113.482448577881)"
2230,Delwood,53.595947265625,-113.455127716064,"(53.595947265625, -113.455127716064)"
5463,Desrochers Area,53.3994178771973,-113.553131103516,"(53.3994178771973, -113.553131103516)"
3160,Dominion Industrial,53.5758285522461,-113.571849822998,"(53.5758285522461, -113.571849822998)"
4120,Donsdale,53.4856300354004,-113.6354637146,"(53.4856300354004, -113.6354637146)"
3170,Dovercourt,53.5757255554199,-113.559532165527,"(53.5757255554199, -113.559532165527)"
1090,Downtown,53.5397682189941,-113.498378753662,"(53.5397682189941, -113.498378753662)"
5160,Duggan,53.4715118408203,-113.506057739258,"(53.4715118408203, -113.506057739258)"
3180,Dunluce,53.6214714050293,-113.530181884766,"(53.6214714050293, -113.530181884766)"
6180,Eastgate Business Park,53.5340118408203,-113.406352996826,"(53.5340118408203, -113.406352996826)"
1100,Eastwood,53.5761032104492,-113.468730926514,"(53.5761032104492, -113.468730926514)"
2241,Eaux Claires,53.621639251709,-113.485633850098,"(53.621639251709, -113.485633850098)"
2251,Ebbers,53.6105003356934,-113.402317047119,"(53.6105003356934, -113.402317047119)"
4462,Edgemont,53.4720268249512,-113.672752380371,"(53.4720268249512, -113.672752380371)"
4130,Edmiston Industrial,53.5658473968506,-113.632743835449,"(53.5658473968506, -113.632743835449)"
1110,Edmonton Municipal Airport,53.5719833374023,-113.516994476318,"(53.5719833374023, -113.516994476318)"
1120,Edmonton Northlands,53.5683708190918,-113.456447601318,"(53.5683708190918, -113.456447601318)"
6190,Edmonton Research and Development Park,53.4462203979492,-113.473033905029,"(53.4462203979492, -113.473033905029)"
6200,Ekota,53.4494094848633,-113.442337036133,"(53.4494094848633, -113.442337036133)"
6211,Ellerslie,53.4285469055176,-113.457733154297,"(53.4285469055176, -113.457733154297)"
6214,Ellerslie Industrial,53.4139842987061,-113.488151550293,"(53.4139842987061, -113.488151550293)"
4140,Elmwood,53.515739440918,-113.605991363525,"(53.515739440918, -113.605991363525)"
1130,Elmwood Park,53.57958984375,-113.460918426514,"(53.57958984375, -113.460918426514)"
3190,Elsinore,53.6407623291016,-113.499401092529,"(53.6407623291016, -113.499401092529)"
5170,Empire Park,53.4843673706055,-113.505859375,"(53.4843673706055, -113.505859375)"
5180,Ermineskin,53.4576377868652,-113.505729675293,"(53.4576377868652, -113.505729675293)"
2260,Evansdale,53.61083984375,-113.479568481445,"(53.61083984375, -113.479568481445)"
2270,Evergreen,53.6322784423828,-113.350482940674,"(53.6322784423828, -113.350482940674)"
5190,Falconer Heights,53.4667205810547,-113.588523864746,"(53.4667205810547, -113.588523864746)"
6230,Forest Heights,53.5445365905762,-113.451248168945,"(53.5445365905762, -113.451248168945)"
2280,Fraser,53.6111145019531,-113.373672485352,"(53.6111145019531, -113.373672485352)"
6240,Fulton Place,53.5462951660156,-113.427467346191,"(53.5462951660156, -113.427467346191)"
4150,Gagnon Estate Industrial,53.5801849365234,-113.585792541504,"(53.5801849365234, -113.585792541504)"
6250,Gainer Industrial,53.5154876708984,-113.423175811768,"(53.5154876708984, -113.423175811768)"
4160,Gariepy,53.493595123291,-113.622657775879,"(53.493595123291, -113.622657775879)"
5200,Garneau,53.5199127197266,-113.513538360596,"(53.5199127197266, -113.513538360596)"
4170,Garside Industrial,53.5667495727539,-113.584175109863,"(53.5667495727539, -113.584175109863)"
6260,Girard Industrial,53.5111694335938,-113.437721252441,"(53.5111694335938, -113.437721252441)"
4720,Glastonbury,53.5031871795654,-113.669868469238,"(53.5031871795654, -113.669868469238)"
2290,Glengarry,53.5958557128906,-113.479610443115,"(53.5958557128906, -113.479610443115)"
3200,Glenora,53.5449028015137,-113.55704498291,"(53.5449028015137, -113.55704498291)"
5577,Glenridding Area,53.4176063537598,-113.599220275879,"(53.4176063537598, -113.599220275879)"
4180,Glenwood,53.5364151000977,-113.602771759033,"(53.5364151000977, -113.602771759033)"
6270,Gold Bar,53.5489158630371,-113.411998748779,"(53.5489158630371, -113.411998748779)"
3490,Goodridge Corners,53.6423950195313,-113.558742523193,"(53.6423950195313, -113.558742523193)"
2311,Gorman,53.6232032775879,-113.389682769775,"(53.6232032775879, -113.389682769775)"
5210,Grandview Heights,53.501163482666,-113.548908233643,"(53.501163482666, -113.548908233643)"
4551,Granville,53.5048732757568,-113.682800292969,"(53.5048732757568, -113.682800292969)"
5220,Greenfield,53.4710731506348,-113.527503967285,"(53.4710731506348, -113.527503967285)"
6280,Greenview,53.4753952026367,-113.427810668945,"(53.4753952026367, -113.427810668945)"
3111,Griesbach,53.6068077087402,-113.504230499268,"(53.6068077087402, -113.504230499268)"
3210,Grovenor,53.5453987121582,-113.571914672852,"(53.5453987121582, -113.571914672852)"
5610,Haddow,53.4547500610352,-113.596488952637,"(53.4547500610352, -113.596488952637)"
3220,Hagmann Estate Industrial,53.5821762084961,-113.544952392578,"(53.5821762084961, -113.544952392578)"
2320,Hairsine,53.6038360595703,-113.390922546387,"(53.6038360595703, -113.390922546387)"
4190,Hawin Park Estate Industrial,53.5748519897461,-113.596572875977,"(53.5748519897461, -113.596572875977)"
4473,Hawks Ridge,53.5891418457031,-113.701469421387,"(53.5891418457031, -113.701469421387)"
5465,Hays Ridge Area,53.4176216125488,-113.574596405029,"(53.4176216125488, -113.574596405029)"
6290,Hazeldean,53.504207611084,-113.477890014648,"(53.504207611084, -113.477890014648)"
5230,Henderson Estates,53.4676361083984,-113.597450256348,"(53.4676361083984, -113.597450256348)"
5456,Heritage Valley Area,53.4176330566406,-113.553157806396,"(53.4176330566406, -113.553157806396)"
5461,Heritage Valley Area East,53.4059810638428,-113.512016296387,"(53.4059810638428, -113.512016296387)"
5464,Heritage Valley Town Centre Area,53.4073219299316,-113.54320526123,"(53.4073219299316, -113.54320526123)"
4200,High Park,53.5549850463867,-113.584201812744,"(53.5549850463867, -113.584201812744)"
4210,High Park Industrial,53.5610389709473,-113.584247589111,"(53.5610389709473, -113.584247589111)"
2330,Highlands,53.5659980773926,-113.430171966553,"(53.5659980773926, -113.430171966553)"
6300,Hillview,53.4697418212891,-113.427066802979,"(53.4697418212891, -113.427066802979)"
5620,Hodgson,53.4576721191406,-113.55980682373,"(53.4576721191406, -113.55980682373)"
2340,Hollick-Kenyon,53.6222457885742,-113.422290802002,"(53.6222457885742, -113.422290802002)"
6310,Holyrood,53.5313606262207,-113.450191497803,"(53.5313606262207, -113.450191497803)"
2350,Homesteader,53.5847206115723,-113.40645980835,"(53.5847206115723, -113.40645980835)"
3480,Hudson,53.6043472290039,-113.553092956543,"(53.6043472290039, -113.553092956543)"
3230,Huff Bremner Estate Industrial,53.5646209716797,-113.571895599365,"(53.5646209716797, -113.571895599365)"
6320,Idylwylde,53.5216293334961,-113.449115753174,"(53.5216293334961, -113.449115753174)"
2360,Industrial Heights,53.580982208252,-113.437473297119,"(53.580982208252, -113.437473297119)"
3240,Inglewood,53.5646057128906,-113.540855407715,"(53.5646057128906, -113.540855407715)"
6330,Jackson Heights,53.4816589355469,-113.410846710205,"(53.4816589355469, -113.410846710205)"
4220,Jamieson Place,53.4887084960938,-113.649021148682,"(53.4887084960938, -113.649021148682)"
4230,Jasper Park,53.5230712890625,-113.584106445313,"(53.5230712890625, -113.584106445313)"
6340,Kameyosek,53.4619178771973,-113.442070007324,"(53.4619178771973, -113.442070007324)"
5250,Keheewin,53.4502410888672,-113.504512786865,"(53.4502410888672, -113.504512786865)"
6350,Kenilworth,53.5216331481934,-113.431041717529,"(53.5216331481934, -113.431041717529)"
2380,Kennedale Industrial,53.5908508300781,-113.423400878906,"(53.5908508300781, -113.423400878906)"
3250,Kensington,53.5958633422852,-113.528923034668,"(53.5958633422852, -113.528923034668)"
2390,Kernohan,53.5894012451172,-113.380165100098,"(53.5894012451172, -113.380165100098)"
5576,Keswick Area,53.4175987243652,-113.635799407959,"(53.4175987243652, -113.635799407959)"
2400,Kildare,53.6032943725586,-113.455150604248,"(53.6032943725586, -113.455150604248)"
2410,Kilkenny,53.6103782653809,-113.45512008667,"(53.6103782653809, -113.45512008667)"
2420,Killarney,53.5884895324707,-113.479568481445,"(53.5884895324707, -113.479568481445)"
6360,King Edward Park,53.5151519775391,-113.452129364014,"(53.5151519775391, -113.452129364014)"
6370,Kiniski Gardens,53.4759254455566,-113.403301239014,"(53.4759254455566, -113.403301239014)"
4475,Kinokamau Plains Area,53.5850830078125,-113.620441436768,"(53.5850830078125, -113.620441436768)"
2430,Kirkness,53.6114387512207,-113.388374328613,"(53.6114387512207, -113.388374328613)"
2440,Klarvatten,53.6372241973877,-113.476661682129,"(53.6372241973877, -113.476661682129)"
4240,La Perle,53.533088684082,-113.64070892334,"(53.533088684082, -113.64070892334)"
2450,Lago Lindo,53.6360397338867,-113.484649658203,"(53.6360397338867, -113.484649658203)"
6380,Lambton Industrial,53.5222702026367,-113.413848876953,"(53.5222702026367, -113.413848876953)"
