neighbourhood_area,neighbourhood,neighbourhood_id,adjacent,adjacent_id
0.409629081,Abbottsfield,2010,Beacon Heights,2040
0.409629081,Abbottsfield,2010,Bergman,2090
0.409629081,Abbottsfield,2010,Beverly Heights,2100
0.409629081,Abbottsfield,2010,Canon Ridge,2120
0.409629081,Abbottsfield,2010,Homesteader,2350
0.409629081,Abbottsfield,2010,River Valley Rundle,2650
0.409629081,Abbottsfield,2010,Rundle Heights,2660
0.843312283,Albany,3460,Dunluce,3180
1.680470553,Alberta Avenue,1010,Eastwood,1100
1.680470553,Alberta Avenue,1010,McCauley,1140
1.680470553,Alberta Avenue,1010,Parkdale,1160
1.680470553,Alberta Avenue,1010,Spruce Avenue,1230
1.680470553,Alberta Avenue,1010,Westwood,1250
0.664647754,Alberta Park Industrial,4010,Carleton Square Industrial,4100
0.664647754,Alberta Park Industrial,4010,Garside Industrial,4170
0.664647754,Alberta Park Industrial,4010,Hawin Park Estate Industrial,4190
0.664647754,Alberta Park Industrial,4010,High Park Industrial,4210
0.664647754,Alberta Park Industrial,4010,Mitchell Industrial,4330
0.664647754,Alberta Park Industrial,4010,Norwester Industrial,4350
0.664647754,Alberta Park Industrial,4010,Sheffield Industrial,4490
0.664647754,Alberta Park Industrial,4010,West Sheffield Industrial,4600
1.490596723,Aldergrove,4020,Anthony Henday South West,4012
1.490596723,Aldergrove,4020,Belmead,4040
1.490596723,Aldergrove,4020,Callingwood North,4070
1.490596723,Aldergrove,4020,Lymburn,4270
1.490596723,Aldergrove,4020,Summerlea,4520
1.490596723,Aldergrove,4020,Thorncliff,4560
1.658805971,Allard,5458,Cavanagh,5467
1.658805971,Allard,5458,Desrochers Area,5463
1.658805971,Allard,5458,Heritage Valley Town Centre Area,5464
0.8835313,Allendale,5010,Calgary Trail North,5110
0.8835313,Allendale,5010,Parkallen,5310
0.8835313,Allendale,5010,Pleasantview,5320
0.8835313,Allendale,5010,Queen Alexandra,5330
0.8835313,Allendale,5010,Strathcona Junction,5151
3.144004175,Ambleside,5505,Windermere,5570
4.706088874,Anthony Henday,4011,Anthony Henday Big Lake,4018
4.706088874,Anthony Henday,4011,Anthony Henday South West,4012
4.706088874,Anthony Henday,4011,Belmead,4040
4.706088874,Anthony Henday,4011,Glastonbury,4720
4.706088874,Anthony Henday,4011,Lymburn,4270
4.706088874,Anthony Henday,4011,Place LaRue,4400
3.217723658,Anthony Henday Big Lake,4018,Anthony Henday,4011
3.217723658,Anthony Henday Big Lake,4018,Mistatim Industrial,4320
3.217723658,Anthony Henday Big Lake,4018,Rural West Big Lake,4470
3.217723658,Anthony Henday Big Lake,4018,Starling,4474
3.217723658,Anthony Henday Big Lake,4018,White Industrial,4630
3.217723658,Anthony Henday Big Lake,4018,Winterburn Industrial Area East,4650
1.996061418,Anthony Henday Castledowns,4016,Anthony Henday Lake District,4017
1.996061418,Anthony Henday Castledowns,4016,Anthony Henday Rampart,4023
1.996061418,Anthony Henday Castledowns,4016,Goodridge Corners,3490
1.996061418,Anthony Henday Castledowns,4016,Lago Lindo,2450
1.354436944,Anthony Henday Clareview,4022,Clover Bar Area,2160
1.354436944,Anthony Henday Clareview,4022,River Valley Hermitage,2630
1.354436944,Anthony Henday Clareview,4022,Rural North East South Sturgeon,2690
2.358167923,Anthony Henday Energy Park,4019,Anthony Henday Horse Hill,4021
2.358167923,Anthony Henday Energy Park,4019,Anthony Henday Lake District,4017
2.358167923,Anthony Henday Energy Park,4019,Crystallina Nera East,2462
2.358167923,Anthony Henday Energy Park,4019,Edmonton Energy And Technology Park,2681
2.358167923,Anthony Henday Energy Park,4019,Gorman,2311
2.358167923,Anthony Henday Energy Park,4019,Rural North East Horse Hill,2670
1.122516602,Anthony Henday Horse Hill,4021,Anthony Henday Energy Park,4019
1.122516602,Anthony Henday Horse Hill,4021,Cy Becker,2611
1.122516602,Anthony Henday Horse Hill,4021,Edmonton Energy And Technology Park,2681
1.999200727,Anthony Henday Lake District,4017,Anthony Henday Castledowns,4016
1.999200727,Anthony Henday Lake District,4017,Anthony Henday Energy Park,4019
1.999200727,Anthony Henday Lake District,4017,Elsinore,3190
1.999200727,Anthony Henday Lake District,4017,Lago Lindo,2450
1.999200727,Anthony Henday Lake District,4017,McConachie Area,2521
2.439613662,Anthony Henday Mistatim,4015,Anthony Henday Rampart,4023
2.439613662,Anthony Henday Mistatim,4015,Kinokamau Plains Area,4475
3.160685971,Anthony Henday Rampart,4023,Anthony Henday Castledowns,4016
3.160685971,Anthony Henday Rampart,4023,Anthony Henday Mistatim,4015
3.160685971,Anthony Henday Rampart,4023,Goodridge Corners,3490
3.160685971,Anthony Henday Rampart,4023,Mistatim Industrial,4320
3.160685971,Anthony Henday Rampart,4023,Rapperswill,3370
3.883362314,Anthony Henday South,4014,Anthony Henday South East,6665
3.883362314,Anthony Henday South,4014,Anthony Henday Terwillegar,4013
3.883362314,Anthony Henday South,4014,Bearspaw,5030
3.883362314,Anthony Henday South,4014,Blackmud Creek Ravine,5050
3.883362314,Anthony Henday South,4014,Rutherford,5454
3.883362314,Anthony Henday South,4014,South Edmonton Common,6195
7.421286396,Anthony Henday South East,6665,Anthony Henday South,4014
7.421286396,Anthony Henday South East,6665,Menisa,6450
7.421286396,Anthony Henday South East,6665,South Edmonton Common,6195
4.495745249,Anthony Henday South West,4012,Aldergrove,4020
4.495745249,Anthony Henday South West,4012,Anthony Henday,4011
4.495745249,Anthony Henday South West,4012,Anthony Henday Terwillegar,4013
4.495745249,Anthony Henday South West,4012,Glastonbury,4720
4.495745249,Anthony Henday South West,4012,River Valley Terwillegar,5380
4.495745249,Anthony Henday South West,4012,River Valley Windermere,5405
4.495745249,Anthony Henday South West,4012,The Hamptons,4461
4.495745249,Anthony Henday South West,4012,Wedgewood Heights,4570
3.150663783,Anthony Henday Terwillegar,4013,Anthony Henday South,4014
3.150663783,Anthony Henday Terwillegar,4013,Anthony Henday South West,4012
3.150663783,Anthony Henday Terwillegar,4013,Mactaggart,5477
3.150663783,Anthony Henday Terwillegar,4013,River Valley Cameron,4467
3.150663783,Anthony Henday Terwillegar,4013,River Valley Terwillegar,5380
3.150663783,Anthony Henday Terwillegar,4013,Riverview Area,4463
0.359056056,Argyll,6010,Coronet Addition Industrial,6090
1.113634702,Armstrong Industrial,4030,Carleton Square Industrial,4100
1.113634702,Armstrong Industrial,4030,Edmiston Industrial,4130
1.113634702,Armstrong Industrial,4030,Kinokamau Plains Area,4475
1.113634702,Armstrong Industrial,4030,Norwester Industrial,4350
1.113634702,Armstrong Industrial,4030,West Sheffield Industrial,4600
1.113634702,Armstrong Industrial,4030,Wilson Industrial,4640
0.666305115,Aspen Gardens,5020,Greenfield,5220
1.193231428,Athlone,3010,Calder,3070
1.193231428,Athlone,3010,Hagmann Estate Industrial,3220
1.193231428,Athlone,3010,Kensington,3250
0.897084395,Avonmore,6020,Coronet Addition Industrial,6090
0.897084395,Avonmore,6020,Girard Industrial,6260
1.402659818,Balwin,2020,Belvedere,2080
1.402659818,Balwin,2020,Delwood,2230
1.402659818,Balwin,2020,Glengarry,2290
1.402659818,Balwin,2020,Killarney,2420
0.733094192,Bannerman,2030,Belmont,2070
0.733094192,Bannerman,2030,Fraser,2280
0.733094192,Bannerman,2030,Hairsine,2320
0.733094192,Bannerman,2030,Kernohan,2390
0.733094192,Bannerman,2030,Kirkness,2430
0.733094192,Bannerman,2030,River Valley Hermitage,2630
0.779204239,Baranow,3020,Carlisle,3090
0.779204239,Baranow,3020,Cumberland,3150
0.779204239,Baranow,3020,Kensington,3250
0.779204239,Baranow,3020,Oxford,3320
0.779204239,Baranow,3020,Pembina,3340
0.779204239,Baranow,3020,Wellington,3430
1.406218311,Baturyn,3030,Canossa,3080
1.406218311,Baturyn,3030,Dunluce,3180
1.406218311,Baturyn,3030,Eaux Claires,2241
1.406218311,Baturyn,3030,Elsinore,3190
1.406218311,Baturyn,3030,Lago Lindo,2450
1.406218311,Baturyn,3030,Lorelei,3280
1.150205245,Beacon Heights,2040,Abbottsfield,2010
1.150205245,Beacon Heights,2040,Beverly Heights,2100
1.150205245,Beacon Heights,2040,Highlands,2330
1.150205245,Beacon Heights,2040,Newton,2560
1.150205245,Beacon Heights,2040,Rundle Heights,2660
0.865185435,Bearspaw,5030,Anthony Henday South,4014
0.865185435,Bearspaw,5030,South Edmonton Common,6195
1.439970821,Beaumaris,3040,Caernarvon,3060
1.439970821,Beaumaris,3040,Dunluce,3180
1.439970821,Beaumaris,3040,Eaux Claires,2241
1.439970821,Beaumaris,3040,Evansdale,2260
1.439970821,Beaumaris,3040,Griesbach,3111
1.439970821,Beaumaris,3040,Lorelei,3280
0.867544792,Belgravia,5040,McKernan,5290
0.867544792,Belgravia,5040,Parkallen,5310
0.867544792,Belgravia,5040,River Valley Mayfair,5370
0.867544792,Belgravia,5040,River Valley Whitemud,5400
0.867544792,Belgravia,5040,University of Alberta,5520
0.867544792,Belgravia,5040,University of Alberta Farm,5530
0.867544792,Belgravia,5040,Windsor Park,5580
1.173442632,Belle Rive,2050,Evansdale,2260
1.173442632,Belle Rive,2050,Kilkenny,2410
1.173442632,Belle Rive,2050,Mayliewan,2511
1.173442632,Belle Rive,2050,Schonsee,2700
0.513746727,Bellevue,2060,Highlands,2330
0.513746727,Bellevue,2060,Montrose,2550
0.513746727,Bellevue,2060,River Valley Highlands,2640
1.280633773,Belmead,4040,Aldergrove,4020
1.280633773,Belmead,4040,Anthony Henday,4011
1.280633773,Belmead,4040,La Perle,4240
1.280633773,Belmead,4040,Summerlea,4520
1.280633773,Belmead,4040,Terra Losa,4540
1.263277424,Belmont,2070,Bannerman,2030
1.263277424,Belmont,2070,Clareview Town Centre,2145
1.263277424,Belmont,2070,Hairsine,2320
1.263277424,Belmont,2070,Kernohan,2390
1.673632637,Belvedere,2080,Balwin,2020
1.673632637,Belvedere,2080,Clareview Town Centre,2145
1.673632637,Belvedere,2080,Delwood,2230
1.673632637,Belvedere,2080,Kildare,2400
1.673632637,Belvedere,2080,Yellowhead Corridor East,1270
1.673632637,Belvedere,2080,York,2720
0.708336998,Bergman,2090,Abbottsfield,2010
0.708336998,Bergman,2090,Homesteader,2350
0.708336998,Bergman,2090,Industrial Heights,2360
0.708336998,Bergman,2090,Newton,2560
0.708336998,Bergman,2090,Overlanders,2590
1.384168828,Beverly Heights,2100,Abbottsfield,2010
1.384168828,Beverly Heights,2100,Beacon Heights,2040
1.384168828,Beverly Heights,2100,Highlands,2330
1.384168828,Beverly Heights,2100,Newton,2560
1.384168828,Beverly Heights,2100,River Valley Highlands,2640
1.384168828,Beverly Heights,2100,River Valley Rundle,2650
1.384168828,Beverly Heights,2100,Rundle Heights,2660
0.943123749,Bisset,6030,Laurel,6444
0.943123749,Bisset,6030,Minchau,6530
0.943123749,Bisset,6030,Pollard Meadows,6580
0.943123749,Bisset,6030,Silver Berry,6442
0.943123749,Bisset,6030,Weinlos,6770
0.726414953,Blackburne,5590,Cashman,5466
0.726414953,Blackburne,5590,Ellerslie Industrial,6214
0.726414953,Blackburne,5590,MacEwan,5452
0.726414953,Blackburne,5590,Richford,5451
0.780653205,Blackmud Creek,5453,Callaghan,5457
0.780653205,Blackmud Creek,5453,Cashman,5466
0.780653205,Blackmud Creek,5453,Cavanagh,5467
0.780653205,Blackmud Creek,5453,MacEwan,5452
0.780653205,Blackmud Creek,5453,Richford,5451
0.780653205,Blackmud Creek,5453,Rutherford,5454
0.875489829,Blackmud Creek Ravine,5050,Anthony Henday South,4014
0.875489829,Blackmud Creek Ravine,5050,Blue Quill,5060
0.875489829,Blackmud Creek Ravine,5050,Blue Quill Estates,5070
1.058049468,Blue Quill,5060,Blackmud Creek Ravine,5050
1.058049468,Blue Quill,5060,Blue Quill Estates,5070
1.058049468,Blue Quill,5060,Keheewin,5250
1.058049468,Blue Quill,5060,Skyrattler,5460
1.058049468,Blue Quill,5060,Whitemud Creek Ravine South,5560
0.44251268,Blue Quill Estates,5070,Blackmud Creek Ravine,5050
0.44251268,Blue Quill Estates,5070,Blue Quill,5060
0.44251268,Blue Quill Estates,5070,Skyrattler,5460
0.44251268,Blue Quill Estates,5070,Sweet Grass,5490
0.44251268,Blue Quill Estates,5070,Whitemud Creek Ravine South,5560
1.272690023,Bonaventure Industrial,4050,Gagnon Estate Industrial,4150
1.272690023,Bonaventure Industrial,4050,Hagmann Estate Industrial,3220
1.272690023,Bonaventure Industrial,4050,McArthur Industrial,3290
1.272690023,Bonaventure Industrial,4050,Mistatim Industrial,4320
1.272690023,Bonaventure Industrial,4050,Rampart Industrial,3360
1.500853243,Bonnie Doon,6040,Holyrood,6310
1.500853243,Bonnie Doon,6040,Idylwylde,6320
1.500853243,Bonnie Doon,6040,King Edward Park,6360
1.500853243,Bonnie Doon,6040,Mill Creek Ravine North,6491
1.500853243,Bonnie Doon,6040,Mill Creek Ravine South,6492
1.500853243,Bonnie Doon,6040,Strathearn,6710
0.881352162,Boyle Street,1020,River Valley Kinnaird,1190
1.016693525,Brander Gardens,5080,Brookside,5090
0.565266214,Breckenridge Greens,4700,Glastonbury,4720
0.565266214,Breckenridge Greens,4700,Granville,4551
0.565266214,Breckenridge Greens,4700,Potter Greens,4710
0.565266214,Breckenridge Greens,4700,Rosenthal,4750
0.565266214,Breckenridge Greens,4700,Suder Greens,4730
1.409561207,Brintnell,2110,Casselman,2130
1.409561207,Brintnell,2110,Cy Becker,2611
1.409561207,Brintnell,2110,Miller,2541
1.638283481,Britannia Youngstown,4060,Canora,4090
1.638283481,Britannia Youngstown,4060,Glenwood,4180
1.638283481,Britannia Youngstown,4060,High Park,4200
1.638283481,Britannia Youngstown,4060,Mayfield,4290
1.638283481,Britannia Youngstown,4060,Place LaRue,4400
1.638283481,Britannia Youngstown,4060,Stone Industrial,4510
1.638283481,Britannia Youngstown,4060,West Jasper Place,4580
1.194911937,Brookside,5090,Brander Gardens,5080
1.194911937,Brookside,5090,Ramsay Heights,5340
1.194911937,Brookside,5090,River Valley Whitemud,5400
1.194911937,Brookside,5090,Whitemud Creek Ravine North,5550
0.37557589,Brown Industrial,3050,Dominion Industrial,3160
0.37557589,Brown Industrial,3050,Dovercourt,3170
0.37557589,Brown Industrial,3050,Gagnon Estate Industrial,4150
0.37557589,Brown Industrial,3050,Hagmann Estate Industrial,3220
0.37557589,Brown Industrial,3050,McArthur Industrial,3290
0.37557589,Brown Industrial,3050,Sherbrooke,3410
1.51064899,Bulyea Heights,5100,Carter Crest,5130
1.51064899,Bulyea Heights,5100,Falconer Heights,5190
1.51064899,Bulyea Heights,5100,Ogilvie Ridge,5300
1.51064899,Bulyea Heights,5100,Ramsay Heights,5340
1.51064899,Bulyea Heights,5100,Rhatigan Ridge,5350
1.51064899,Bulyea Heights,5100,Whitemud Creek Ravine South,5560
1.228850195,Caernarvon,3060,Beaumaris,3040
1.228850195,Caernarvon,3060,Griesbach,3111
1.348177603,Calder,3070,Athlone,3010
1.348177603,Calder,3070,Kensington,3250
1.348177603,Calder,3070,Lauderdale,3260
1.348177603,Calder,3070,Rosslyn,3390
1.348177603,Calder,3070,Wellington,3430
0.747189428,Calgary Trail North,5110,Allendale,5010
0.747189428,Calgary Trail North,5110,Calgary Trail South,5120
0.747189428,Calgary Trail North,5110,CPR Irvine,6110
0.747189428,Calgary Trail North,5110,Empire Park,5170
0.747189428,Calgary Trail North,5110,Papaschase Industrial,6560
0.747189428,Calgary Trail North,5110,Pleasantview,5320
0.747189428,Calgary Trail North,5110,Rideau Park,5360
0.747189428,Calgary Trail North,5110,Strathcona Industrial Park,6700
0.747189428,Calgary Trail North,5110,Strathcona Junction,5151
0.653891496,Calgary Trail South,5120,Calgary Trail North,5110
0.653891496,Calgary Trail South,5120,Duggan,5160
0.653891496,Calgary Trail South,5120,Empire Park,5170
0.653891496,Calgary Trail South,5120,Ermineskin,5180
0.653891496,Calgary Trail South,5120,Papaschase Industrial,6560
0.653891496,Calgary Trail South,5120,Parsons Industrial,6570
0.653891496,Calgary Trail South,5120,Rideau Park,5360
0.653891496,Calgary Trail South,5120,Steinhauer,5470
0.653891496,Calgary Trail South,5120,Strathcona Industrial Park,6700
0.899726927,Callaghan,5457,Blackmud Creek,5453
0.899726927,Callaghan,5457,Desrochers Area,5463
0.899726927,Callaghan,5457,Heritage Valley Town Centre Area,5464
0.899726927,Callaghan,5457,Rutherford,5454
0.910734692,Callingwood North,4070,Aldergrove,4020
0.910734692,Callingwood North,4070,Callingwood South,4080
0.910734692,Callingwood North,4070,Elmwood,4140
0.910734692,Callingwood North,4070,Lymburn,4270
0.910734692,Callingwood North,4070,Ormsby Place,4380
0.910734692,Callingwood North,4070,Thorncliff,4560
0.910734692,Callingwood North,4070,Westridge,4610
0.772228218,Callingwood South,4080,Callingwood North,4070
0.772228218,Callingwood South,4080,Dechene,4110
0.772228218,Callingwood South,4080,Gariepy,4160
0.772228218,Callingwood South,4080,Lymburn,4270
0.772228218,Callingwood South,4080,Ormsby Place,4380
0.772228218,Callingwood South,4080,Westridge,4610
0.968747276,Cameron Heights,4466,River Valley Cameron,4467
0.652771302,Canon Ridge,2120,Abbottsfield,2010
0.652771302,Canon Ridge,2120,Overlanders,2590
0.652771302,Canon Ridge,2120,River Valley Rundle,2650
0.88185589,Canora,4090,Britannia Youngstown,4060
0.88185589,Canora,4090,Grovenor,3210
0.88185589,Canora,4090,High Park,4200
0.88185589,Canora,4090,Mayfield,4290
0.88185589,Canora,4090,McQueen,3300
0.88185589,Canora,4090,River Valley Capitol Hill,3380
0.88185589,Canora,4090,West Jasper Place,4580
1.298589393,Canossa,3080,Baturyn,3030
1.298589393,Canossa,3080,Dunluce,3180
1.298589393,Canossa,3080,Rapperswill,3370
1.306281047,Capilano,6061,Fulton Place,6240
1.306281047,Capilano,6061,Gold Bar,6270
1.306281047,Capilano,6061,River Valley Gold Bar,6620
0.410191631,Carleton Square Industrial,4100,Alberta Park Industrial,4010
0.410191631,Carleton Square Industrial,4100,Armstrong Industrial,4030
0.410191631,Carleton Square Industrial,4100,Hawin Park Estate Industrial,4190
0.410191631,Carleton Square Industrial,4100,Kinokamau Plains Area,4475
0.410191631,Carleton Square Industrial,4100,Norwester Industrial,4350
0.961897334,Carlisle,3090,Baranow,3020
0.961897334,Carlisle,3090,Griesbach,3111
0.961897334,Carlisle,3090,Kensington,3250
0.961897334,Carlisle,3090,Rosslyn,3390
1.206291421,Carlton,3470,Cumberland,3150
1.206291421,Carlton,3470,Oxford,3320
0.666752726,Carter Crest,5130,Bulyea Heights,5100
0.666752726,Carter Crest,5130,Falconer Heights,5190
0.666752726,Carter Crest,5130,Haddow,5610
0.666752726,Carter Crest,5130,Hodgson,5620
0.666752726,Carter Crest,5130,Leger,5630
0.666752726,Carter Crest,5130,Ogilvie Ridge,5300
0.666752726,Carter Crest,5130,Rhatigan Ridge,5350
1.075855622,Cashman,5466,Blackburne,5590
1.075855622,Cashman,5466,Blackmud Creek,5453
1.075855622,Cashman,5466,Cavanagh,5467
1.075855622,Cashman,5466,Ellerslie Industrial,6214
1.075855622,Cashman,5466,Richford,5451
0.840373166,Casselman,2130,Brintnell,2110
0.840373166,Casselman,2130,McLeod,2530
0.840373166,Casselman,2130,Miller,2541
0.840373166,Casselman,2130,York,2720
1.939587717,Cavanagh,5467,Allard,5458
1.939587717,Cavanagh,5467,Blackmud Creek,5453
1.939587717,Cavanagh,5467,Cashman,5466
1.939587717,Cavanagh,5467,Ellerslie Industrial,6214
1.208895537,Central McDougall,1030,Prince Rupert,1170
1.208895537,Central McDougall,1030,Queen Mary Park,1180
1.208895537,Central McDougall,1030,Spruce Avenue,1230
5.024850822,Chappelle Area,5462,Desrochers Area,5463
5.024850822,Chappelle Area,5462,Heritage Valley Area,5456
5.024850822,Chappelle Area,5462,Paisley,5469
2.660281066,Charlesworth,6661,Ellerslie,6211
2.660281066,Charlesworth,6661,Rural South East,6660
2.660281066,Charlesworth,6661,Summerside,6213
2.660281066,Charlesworth,6661,Walker,6662
1.366931741,Clareview Town Centre,2145,Belmont,2070
1.366931741,Clareview Town Centre,2145,Belvedere,2080
1.366931741,Clareview Town Centre,2145,Ebbers,2251
1.366931741,Clareview Town Centre,2145,Hairsine,2320
1.366931741,Clareview Town Centre,2145,Kennedale Industrial,2380
1.366931741,Clareview Town Centre,2145,Kirkness,2430
1.366931741,Clareview Town Centre,2145,Miller,2541
1.366931741,Clareview Town Centre,2145,Sifton Park,2710
1.366931741,Clareview Town Centre,2145,York,2720
19.30352697,Clover Bar Area,2160,Anthony Henday Clareview,4022
19.30352697,Clover Bar Area,2160,River Valley Hermitage,2630
19.30352697,Clover Bar Area,2160,River Valley Rundle,2650
19.30352697,Clover Bar Area,2160,Rural North East South Sturgeon,2690
1.091090093,Cloverdale,6070,Forest Heights,6230
1.091090093,Cloverdale,6070,Holyrood,6310
1.091090093,Cloverdale,6070,River Valley Riverside,6630
1.091090093,Cloverdale,6070,River Valley Walterdale,5390
1.091090093,Cloverdale,6070,Rossdale,1220
1.091090093,Cloverdale,6070,Strathearn,6710
0.433164869,Coronet Addition Industrial,6090,Argyll,6010
0.433164869,Coronet Addition Industrial,6090,Avonmore,6020
0.433164869,Coronet Addition Industrial,6090,Coronet Industrial,6100
0.433164869,Coronet Addition Industrial,6090,Davies Industrial East,6160
0.433164869,Coronet Addition Industrial,6090,Girard Industrial,6260
0.433164869,Coronet Addition Industrial,6090,Mill Creek Ravine South,6492
0.433164869,Coronet Addition Industrial,6090,Rosedale Industrial,6650
1.606853243,Coronet Industrial,6100,Coronet Addition Industrial,6090
1.606853243,Coronet Industrial,6100,Davies Industrial West,6170
1.606853243,Coronet Industrial,6100,McIntyre Industrial,6430
1.606853243,Coronet Industrial,6100,Papaschase Industrial,6560
1.606853243,Coronet Industrial,6100,Strathcona Junction,5151
0.663610227,CPR Irvine,6110,Calgary Trail North,5110
0.663610227,CPR Irvine,6110,Hazeldean,6290
0.663610227,CPR Irvine,6110,Ritchie,6610
0.663610227,CPR Irvine,6110,Strathcona,5480
0.663610227,CPR Irvine,6110,Strathcona Junction,5151
1.126542482,Crawford Plains,6140,Daly Grove,6150
1.126542482,Crawford Plains,6140,Laurel,6444
1.126542482,Crawford Plains,6140,Meyokumin,6460
1.126542482,Crawford Plains,6140,Pollard Meadows,6580
1.126542482,Crawford Plains,6140,Sakaw,6670
1.168157943,Crestwood,3140,Parkview,3330
1.168157943,Crestwood,3140,River Valley Capitol Hill,3380
1.168157943,Crestwood,3140,Sherwood,4500
1.168157943,Crestwood,3140,West Jasper Place,4580
0.358879384,Cromdale,1070,Edmonton Northlands,1120
0.358879384,Cromdale,1070,Parkdale,1160
0.358879384,Cromdale,1070,River Valley Kinnaird,1190
0.358879384,Cromdale,1070,Virginia Park,1240
0.8350136,Crystallina Nera East,2462,Anthony Henday Energy Park,4019
0.8350136,Crystallina Nera East,2462,McConachie Area,2521
0.8350136,Crystallina Nera East,2462,Schonsee,2700
0.840140905,Crystallina Nera West,2463,Schonsee,2700
1.513166966,Cumberland,3150,Baranow,3020
1.513166966,Cumberland,3150,Carlton,3470
1.513166966,Cumberland,3150,Dunluce,3180
1.513166966,Cumberland,3150,Oxford,3320
1.513166966,Cumberland,3150,Pembina,3340
1.01342434,Cy Becker,2611,Anthony Henday Horse Hill,4021
1.01342434,Cy Becker,2611,Brintnell,2110
1.01342434,Cy Becker,2611,Gorman,2311
1.01342434,Cy Becker,2611,McConachie Area,2521
0.947730364,Daly Grove,6150,Crawford Plains,6140
0.947730364,Daly Grove,6150,Laurel,6444
0.947730364,Daly Grove,6150,Silver Berry,6442
0.947730364,Daly Grove,6150,Weinlos,6770
1.634026374,Davies Industrial East,6160,Coronet Addition Industrial,6090
1.634026374,Davies Industrial East,6160,Davies Industrial West,6170
1.634026374,Davies Industrial East,6160,Gainer Industrial,6250
1.634026374,Davies Industrial East,6160,Girard Industrial,6260
1.634026374,Davies Industrial East,6160,Morris Industrial,6540
1.634026374,Davies Industrial East,6160,Pylypow Industrial,6590
1.634026374,Davies Industrial East,6160,Weir Industrial,6780
1.327029388,Davies Industrial West,6170,Coronet Industrial,6100
1.327029388,Davies Industrial West,6170,Davies Industrial East,6160
1.327029388,Davies Industrial West,6170,Girard Industrial,6260
1.327029388,Davies Industrial West,6170,Rosedale Industrial,6650
0.72424652,Dechene,4110,Callingwood South,4080
0.72424652,Dechene,4110,Donsdale,4120
0.72424652,Dechene,4110,Gariepy,4160
0.72424652,Dechene,4110,Jamieson Place,4220
0.72424652,Dechene,4110,Ormsby Place,4380
0.72424652,Dechene,4110,Wedgewood Heights,4570
0.679806538,Delton,1080,Eastwood,1100
0.679806538,Delton,1080,Westwood,1250
0.679806538,Delton,1080,Yellowhead Corridor West,1280
1.334660715,Delwood,2230,Balwin,2020
